기준일,부산,대구,대전,광주,경기,강원,경북,경남,충북,충남,전북,전남,세종,서울,인천,울산,제주,합계
2022-10-31,21054,23407,13385,8451,72328,12845,17859,20983,14365,15987,12448,14437,2825,55335,24222,4943,30696,365570.0
2022-11-30,21916,24131,14163,8733,75811,13618,18864,22081,14933,16467,12622,14981,2962,57351,25835,5030,32227,381725.0
2022-12-31,22063,24161,14476,9096,77648,14012,19154,22740,15140,16611,12727,15387,3034,59327,26242,5061,32976,389855.0
2023-01-31,22114,24100,14450,9118,77673,14065,19150,22749,15156,16617,12740,15449,3081,59624,26342,5071,32904,390403.0
2023-02-28,23481,25019,14600,9542,79880,14427,19808,23739,15727,16990,13022,16505,3153,59584,26479,5682,33573,401211.0
2023-03-31,24676,25535,14972,9761,84533,14823,21278,25495,16765,18832,15070,18041,3343,61123,27840,5864,34432,422383.0
2023-04-30,26191,26092,15301,10028,87779,15218,22349,26661,16996,19487,15852,19169,3444,62385,29464,6050,35020,
2023-05-31,27147,26691,15564,10303,90624,15728,23023,27593,17511,20225,16256,19966,3562,63807,30905,6207,35619,
2023-06-30,28466,27263,15904,10609,93995,16143,23520,28799,17903,20677,16668,20874,3674,65614,32065,6492,36262,
2023-07-31,29037,27911,16138,10853,97738,16459,24347,30888,18100,21437,17302,21368,3778,66528,33248,6813,36903,
2023-08-31,30148,28336,16263,11054,99925,16723,24645,31767,18739,21656,17623,21708,3882,67351,34094,6960,37342,
2023-09-30,31096,28988,16559,11318,103704,17014,25051,32763,19095,22065,18187,22317,4073,68892,35554,7120,37689,
2023-10-31,32418,29586,16841,11757,107342,17363,25664,34005,19416,23156,18658,22992,4186,70194,36901,7331,38098,
2023-11-30,33770,30272,17418,12235,111466,17927,26234,35124,19713,23558,19390,23746,4235,71591,38551,7688,38894,
2023-12-31,34643,30396,17889,12538,114117,18236,26776,36225,19972,24130,19795,24200,4393,72937,40397,7838,39418,
2024-01-31,34789,30396,17981,12529,114735,18247,26934,36410,20003,24194,19827,24276,4430,72877,40845,7875,39439,
2024-05-31,38422,31586,18763,13216,127098,19003,29260,40854,21710,26851,21444,27061,4700,76551,45136,8423,41519,
2024-06-30,39519,32159,19618,13485,131038,19268,29838,41818,22231,27330,21918,27622,4747,78215,46697,8671,42436,
2024-07-31,40368,32631,19933,13820,134741,19611,30810,43013,22759,27979,22494,28386,4905,79548,48073,8883,43117,
2024-08-31,41175,33130,20266,14115,138713,19851,31424,44001,23361,28837,23104,29076,5030,80474,49758,9042,44490,
2024-09-30,41929,33447,20435,14309,141404,20142,31941,44764,23844,29502,23572,30012,5102,81088,50994,9213,45748,
2024-10-31,42611,33766,20587,14643,145219,20458,32462,45740,24707,30280,24071,30580,5247,81599,52472,9393,47306,
2024-11-30,43531,35012,21098,15093,149479,20730,33410,46295,25255,30504,24701,31123,5343,82824,54387,9684,48523,
2024-12-31,44259,35212,21314,15240,151850,21004,33905,46628,25375,30654,24872,31417,5424,83868,54398,9817,49007,
2025-01-31,44591,35093,21364,15271,152165,21077,33990,46873,25237,30662,24954,31566,5523,83562,54820,9851,49442,
2025-02-28,45284,35477,21506,15489,155103,21287,35237,48510,25932,31657,25533,32322,5674,84172,55919,10015,49690,
