날짜,제목
2021-12-31,100kwh 충전기가 충전속도가 40kwh 밖에 안나오는 경우 이용요금 문제
2021-12-31,차량 번호 해지 문의
2021-12-30,"""9/23일 올린 충전 결재 취소 요청"" 왜 해결되지 않습니까"
2021-12-30,차량번호변경 요청 및 간편결제 등록방법 문의
2021-12-30,2개 회원카드에 각각 결제카드를 등록을 할려고 합니다
2021-12-30,차량 번호 변경
2021-12-30,신축건물 충전기 미운영
2021-12-30,취약계층 소상공인 신청시
2021-12-29,차량 번호 변경문의
2021-12-29,차량 번호 변경 요청드립니다.
2021-12-29,환경부 급속충전시설 차상위 이하/소상공인 대상 충전포인트 지원 요청
2021-12-29,차량번호 변경 요청 건
2021-12-28,전기차 이동
2021-12-28,결제오류 문의
2021-12-28,타기관 충전소 요금 결제잔액 부족으로
2021-12-28,소상공인 전기차 포인트 신청하려 합니다. 배우자 명의 전기차량도 가능한가요?
2021-12-28,충전회원카드 발급 진행 여부 문의 드립니다
2021-12-27,결제카드등록 오류
2021-12-27,무공해차 통합누리집 사이트의 비밀번호 변경이 안됩니다
2021-12-27,타기관이용내역 확인이 안됩니다.
2021-12-27,이용자 제한없음 충전소인데 모텔 투숙객만 충전가능하도록 하고있습니다.
2021-12-27,차량번호 변경 바랍니다
2021-12-26,결제카드 변경 후에도 이전카드로 결제되는 오류문의
2021-12-26,차량번호 변경 부탁드립니다.
2021-12-25,충전내역을 조회할 수 없습니다.
2021-12-25,충전시 회원승인이 안나서 충전을 못하고 있습니다.
2021-12-25,이륜차 배터리 교환 충전소 앱 로그인
2021-12-25,결제카드 및 차량번호 변경
2021-12-25,신규신청
2021-12-24,계정연결 바꾸고싶은데 바꾸는게 없네요
2021-12-24,차량번호 변경 부탁해요.
2021-12-24,차량번호 수정 부탁드립니다.
2021-12-24,결제카드 변경하였으나 이전카드사로 결제가 진행됩니다.
2021-12-23,차량번호 변경 신청드립니다.
2021-12-23,차량 번호 변경 요청
2021-12-23,차량번호변경요청
2021-12-23,차량번호변곁요청건
2021-12-22,[★긴급] 결재 오류건 정정 요청
2021-12-22,소상공인 대상 충전포인트 지원 문의
2021-12-22,11월 타기관 이용요금 오류관련의 건
2021-12-22,타기관 결제 오류건에 대하여.
2021-12-22,충전소 이용 오류
2021-12-22,타기관 잘못 결제된 건에 대하여
2021-12-22,차량 번호 변경 요청드립니다.
2021-12-22,차량번호 변경 요청
2021-12-22,타 기관 사용에 있는 결제오류 건
2021-12-22,차량 추가
2021-12-22,차량번호 변경요청입니다
2021-12-21,충전기 사용하기전 에러 코드 상세 내용
2021-12-21,충전기 모니터 금액과 홈페이지 충전금액이 서로 상이한데 문의드립니다.
2021-12-21,충전내역 확인
2021-12-20,배터리 스테이션
2021-12-20,부부 차량명의 이전시 충전카드 이용
2021-12-19,차량번호 등록 부탁드립니다
2021-12-19,포인트결재
2021-12-19,차령번호변경신청문의드립니다
2021-12-19,전기차충전소 고장 신고
2021-12-19,결제카드 등록하려는데 발급받은 목록이 비어있습니다
2021-12-18,차량 번호 변경 요청
2021-12-18,차량 번호 변경 요청
2021-12-17,충전카드 차량번호 등록 요청
2021-12-17,충전카드 차량번호 변경 부탁드립니다.
2021-12-17,차량 번호 등록 부탁 드립니다.
2021-12-17,차량번호 변경요청
2021-12-17,소상공인 포인트 사용문의
2021-12-16,소상공인 포인트 신청 건
2021-12-16,전기차 충전소 고장신고 건
2021-12-16,차량번호 변경
2021-12-16,결제카드 등록이 안됩니다
2021-12-16,차량번호 변경 요청 드립니다.
2021-12-16,환경부 충전카드 분실 관련 문의
2021-12-16,차량번호 변경 문의드립니다.
2021-12-15,차량번호 변경
2021-12-15,차량번호 변경 요청드립니다
2021-12-15,결재 금액 관련 문의 드립니다
2021-12-15,차량번호 변경 부탁드립니다.
2021-12-15,결제카드 등록이 안됩니다.
2021-12-15,결제카드 동록이 안됩니다.
2021-12-15,멤버쉽 결제카드 등록이 안됩니다.
2021-12-15,[요청] 차량번호 변경
2021-12-15,회원카드문의드립니다.
2021-12-15,소상공인포인트 등록 완료 카드 분실시
2021-12-15,소상공인 포인트 지급받았습니다. 사용방법문의드려요
2021-12-15,차량 모델이 없는건 카드신청을 어떻게 해야 하나요?
2021-12-15,제발글좀읽으세요
2021-12-15,환경부 카드 발급 문의
2021-12-14,차량번호변경 부탁드립니다
2021-12-14,차량번호 변경 부탁드립니다
2021-12-14,충전기 고장 신고
2021-12-14,전기차 충전카드 차량번호 변경 요청드립니다
2021-12-14,전기차 충전카드 차량번호 변경
2021-12-14,차 번호 변경 요청드립니다.
2021-12-14,환경부카드 질의사항
2021-12-14,환경부 급속충전시설 차상위 이하/소상공인 대상 충전포인트 지원 안내
2021-12-13,카드분실 재교부문의
2021-12-13,회원카드 발급 문의드립니다.
2021-12-13,결제카드 등록 관련 문의 건
2021-12-13,회원카드 차량 번호 변경 요청
2021-12-13,결재카드 등록이 안됩니다.
2021-12-13,의성종합운동장 충전기 고장신고
2021-12-13,회원카드가 수취인 불명으로 반송이 되었네요. 다시 발송 부탁합니다.
2021-12-12,차량번호 변경 요청
2021-12-12,차량번호 변경 부탁드립니다.
2021-12-12,카드 전화번호
2021-12-12,충전기 고장신고
2021-12-12,차량 번호 변경 건
2021-12-11,결재카드등록
2021-12-11,차량번호변경건
2021-12-11,충전카드 차량번호 변경
2021-12-11,충전기 plug
2021-12-11,차량번호 변경 부탁 드립니다
2021-12-10,충전카드 재발급 부탁 드립니다.
2021-12-10,차량번호 변경건
2021-12-10,결재금액을 설정할 수 있나요?
2021-12-10,차량 번호 변경 건
2021-12-10,차량번호 변경건
2021-12-10,임시번호로 등록하였으나 차량 출고가 완료되어 변경요청드립니다.
2021-12-10,충전소 설치 업데이트 여부
2021-12-10,회원카드 발급에서 오류
2021-12-10,급속충전기 점검 요청
2021-12-10,차량번호 변경
2021-12-09,사이트에서 충전요금 조회가 안됩니다.
2021-12-09,차량번호 변경건
2021-12-09,충전요금 조회가 안됩니다.
2021-12-09,로밍불가 충전소에 대한 강력한 제제 건의
2021-12-09,회원카드 발급신청
2021-12-08,차량번호 변경 요청 합니다~
2021-12-08,차량 한대에 카드 두개 신청하고 싶습니다.
2021-12-08,충전카드 재발급 부탁드립니다
2021-12-08,급속충전기 요금 문의
2021-12-08,"기존 카드 분실하여 재발급 받았는데, 결제 거부가 뜹니다"
2021-12-08,차량번호 변경 요청
2021-12-08,차량번호변경
2021-12-08,회원카드를 아직 못 받았습니다
2021-12-07,차랑번호 등록 요청합니다
2021-12-07,충전포인트를 지차저나 파워큐브 이런 곳에 쓸 수 없나요?
2021-12-07,법인차량 등록시
2021-12-07,지자체 법인명의 카드 발급
2021-12-07,차량번호 수정 요청합니다.
2021-12-06,차량번호
2021-12-06,차량번호 번경요청
2021-12-06,차량번호변경
2021-12-06,차량번호 수정요청
2021-12-06,환경부 급속충전기 건의 개선
2021-12-06,소상공인 충전포인트에 대해
2021-12-06,전기차 충전 시 코드 24 오류
