날짜,제목
2023-11-10,차량 번호 수정요청이요
2023-11-10,회원카드에 결제카드 등록까지 모두 되었는데 충전기에서 충전실패가 뜹니다.
2023-11-10,차량번호 변경 바랍니다.
2023-11-10,공용(관용) 전기차량 관리자가 바뀌었습니다.
2023-11-10,충전소 찾기 지도프로그램에 구형 DC차데모 컨넥터 그래픽 오류 있습니다. 전체가 그렇습니다.
2023-11-09,차량번호 수정 요청
2023-11-09,카드발급 진행상태
2023-11-09,10월26일날 카드 요청했는데 2주 넘었습니다.
2023-11-09,카드발급 기간이....
2023-11-09,충전 요금 환불 관련
2023-11-09,차량번호 수정 요청
2023-11-09,충전 결제 요금 오류 문의
2023-11-09,결제 오류 문의
2023-11-09,차량변경 부탁드립니다.
2023-11-08,등록차량 번호 변경 부탁드립니다.
2023-11-08,차량 번호 변경 요청합니다.
2023-11-08,EV이음 어플은 IOS(아이폰) 는 언제 사용가능한가요?
2023-11-08,EV이음 어플의 설명에 관해
2023-11-08,결제카드 등록방법문의
2023-11-07,기존 환경부회원카드 ev이음 카드 사용가능한지?
2023-11-07,결제카드 등록 / 카드 목록 조회 건의사항
2023-11-07,차량번호 변경 요청 드립니다.
2023-11-06,회원카드는 받았는데 아직 등기상태라 신용카드 등록이 안됩니다
2023-11-06,회원카드
2023-11-06,결제카드 등록이 안됩니다.
2023-11-06,멤버십 카드와 회원 카드가 같은 건가요?
2023-11-06,차량번호 변경 요청 드립니다.
2023-11-06,도대체 언제 카드가 발급되는건가요?
2023-11-05,등록된 카드가 분실되었던 카드로 결재가 되었기에 결재가 안될경우
2023-11-05,이전에 발급받은 카드를 분실해서 카드를 삭제하고 싶은데 어떻게 해야 하나요?
2023-11-04,환경부 카드 3주째 안오고 있어요
2023-11-03,회원카드 언제오나요?
2023-11-03,회원카드 신청한지 일주일이 되었는데 ㅠㅠ
2023-11-03,의무구매임차제 승인 요청
2023-11-03,도대체 언제 발급이 되는건가요
2023-11-03,이전에 발급한 회원카드에 차량 번호 등록하려고 합니다.
2023-11-02,카드신청 언제 받을 수 있나요
2023-11-02,차량번호 변경요청 드립니다.
2023-11-02,의무구매임차제 승인 요청
2023-11-02,멤버십 카드 해지 요청
2023-11-02,회원카드 발급 신청 처리 문의
2023-11-02,회원카드 신청 및 발급 소요기간 문의
2023-11-01,회원카드를 발급 받았는데 결제카드 등록에서 회원카드가 정보가 안보입니다..
2023-11-01,카드신청 후 발급일까지 소요일
2023-11-01,플라스틱 카드를 계속 고수해야하는 이유가 있을까요?
2023-11-01,회원카드 발급 문의
2023-11-01,도대체. 언제?
2023-10-31,회원카드
2023-10-31,회원카드 언제쯤 받을 수 있을까요????
2023-10-31,카드신청문의
2023-10-31,회원카드발급문의
2023-10-31,카드 받고
2023-10-30,회원카드 언제오나요?
2023-10-30,자동차번호 변경 요청
2023-10-30,결재카드 관련
2023-10-30,충전 이용내역 확인 요청
2023-10-30,차량공유 서비스 충전카드 사용내역 연동 문의의 건
2023-10-30,차량번호 변경 요청
2023-10-30,결제카드 등록
2023-10-29,결제카드 등록 실패
2023-10-29,구매보조금 지급현황 일주일에 한 번만이라도 제대로 업데이트 안 되나요?
2023-10-29,차랑변호 변경요청드립니다.
2023-10-29,카드발급문의
2023-10-29,멤버십카드 수령했는데 회원정보에 안뜨네요
2023-10-29,카드 한 장 더 발급 가능한가요?
2023-10-27,차량 번호 변경 문의
2023-10-27,회원카드 발급 지연 관련
2023-10-27,무공해차 통합누리집 가까운 충전소 찾기 전기차 충전기 현황 자료 수정 요청합니다.
2023-10-27,회원카드 10/18에 신청 후 무소식
2023-10-27,회원카드 발급 문의
2023-10-27,충전카드 언제 오나요?
2023-10-26,차량번호 변경 요청합니다.
2023-10-26,회원카드 신청한지가 10일이 다되갑니다!
2023-10-26,회원카드 언제줄겁니까 충전을 못하고잇습니다
2023-10-26,회원카드 신청 후 무반응
2023-10-26,회원카드 발급
2023-10-26,환경부카드 발급 문의
2023-10-26,충전소 등록시 우편번호
2023-10-26,행정복지센터에 있는 완속 충전기
2023-10-25,차량번호 변경 요청합니다.
2023-10-25,카드좀 발급해주세요!!
2023-10-25,언제쯤 카드 배송 되나요?
2023-10-25,카드발급 문의
2023-10-25,카드는 1개정 1개만 발급 가능한가요?
2023-10-24,번호발급은 언제되나요?
2023-10-24,회원카드 발급안하나요?
2023-10-24,회원카드 접수여부
2023-10-24,신용카드 연결 등록 문의
2023-10-24,회원카드 접수여부
2023-10-24,결제카드 연계등록
2023-10-24,분실
2023-10-23,차량교체후 회원카드 정보 변경요청
2023-10-23,접수 처리 언제쯤되나요
2023-10-23,전기차 충전카드 혹시 언제 발급되나요?
2023-10-22,차량 모델이 없습니다.
2023-10-22,충전카드요
2023-10-22,회원카드 발급 언제 될까요??
2023-10-22,회원카드 언제 발급 되는지요?
2023-10-21,차량변경
2023-10-21,충전카드 추가 발급이 가능할까요?
2023-10-21,충전한도
2023-10-20,9월 30일 카드신청 오늘까지 미발급
2023-10-20,회원카드 발급 관련
2023-10-20,충전카드 차량번호 변경요청
2023-10-20,EV-이음 은 언제부터 시행되나요?
2023-10-20,"9월 신청한 사람은 대기하고, 10월 신청한 사람은 발급완료?"
2023-10-20,발급완료라고 뜬지 2ㅡ3일 된거 같은데 실제 배송은 언제오나요?
2023-10-20,환경부카드등록후 차량번호수정
2023-10-20,카드 배송 예상일정 공지라도 좀 올려주세요
2023-10-20,카드 배송이 오지 않습니다.
2023-10-19,환경부 카드 신청 후 일반적으로 평균적으로 받게되는 일정을 알 수 있을까요?
2023-10-19,카드 언제 나오나요
2023-10-19,무공해차 통합누리집 가까운 충전소 찾기 전기차 충전기 현황 자료 수정 요청합니다.
2023-10-19,카드발급 언제되나요?
2023-10-19,충전 회원카드 발송 언제 발송하나요?
2023-10-19,카드 언제보내주시냐요?
2023-10-19,환경부 카드 발송 문의 건
2023-10-18,회원카드가 3주째 배송이 안됩니다
2023-10-18,회원카드 발급 받았는데 결제카드 등록하고 싶습니다
2023-10-18,카드발급 언제되요?
2023-10-18,회원카드 발급 문의
2023-10-18,회원카드 신청시 등록한 차량번호 변경요청
2023-10-18,환경부카드 발급 지연 문의
2023-10-17,2023.09.24에 회원카드신청을 했는데 언제쯤 배송되나요? 언제까지 기다려야 하는지요?
2023-10-17,회원카드 발급 문의
2023-10-17,회원카드
2023-10-17,회원카드 발급 신청(9/22) 후 단계가 접수에서 변경되지 않고 있는데 언제 발송되나요?
2023-10-17,회원카드가 있는데 없다고 나와요
2023-10-17,문의 건
2023-10-17,9월22일에 카드 신청했습니다. 언제 발급되나요?
2023-10-17,카드 발급 언제되나요?? 9월23일에 신청했습니다
2023-10-16,기존에 보유한 환경부 카드를 사용할 수 있나요
2023-10-16,카드 발급한지 2주가 넘어갑니다.
2023-10-16,환경부 회원카드 발급지연 문의
2023-10-16,카드발급 너무 지연되네요. 9월 27일에 신청했습니다.
2023-10-16,전기차 충전 환경부 고시 단가가 현재 얼마인가요
2023-10-16,9월 22일 신청한 회원카드가 발급이 안되고 있습니다.
2023-10-16,타기관 이용자인데 담당자 변경에 따른 이름 변경(정보 수정)이 가능한가요?
2023-10-15,회원카드 언제 발급될까요?
2023-10-15,코란도EVX는 신청항목이 없나요
2023-10-15,회원카드
2023-10-14,차량 변경 요청
2023-10-14,결제카드 변경 오류
2023-10-14,충전카드
2023-10-14,회원카드 신청 3주 전에 했는데 안오네요
2023-10-14,회원인증 오류
2023-10-13,카드접수 했는데 배송이 안와요
2023-10-13,미결제 내역이 없는데 카드신청이 안되네요?
2023-10-13,차량등록번호 변경요청합니다
2023-10-13,차량번호 변경 요청합니다.
2023-10-13,지금 신청한지 한달 가까이 되었는데 접수상태인게 좀 그런데 확인 부탁드립니다.
2023-10-13,카드발급 지연 및 기타내용
2023-10-13,무공해차 통합 누리집 담당자 변경 문의
2023-10-13,환경부카드 발급 지연 문의
2023-10-13,담당자 변경에 따른 정보 변경
2023-10-12,카드 등기로 언제 오나요~?
2023-10-12,회원/충전카드 발급
2023-10-12,저공해차량 전산 오류 문의
2023-10-12,회원카드 발급 요청 드립니다
2023-10-12,카드발급 문의
2023-10-12,회원카드 발급 언제 될까요?
2023-10-12,카드발급 좀 해주세요
2023-10-12,코란도EVX는 신청항목이 없나요
2023-10-12,회원카드 발급신청 소요시간
2023-10-12,카드발급 문의
2023-10-12,회원카드 발송
2023-10-11,9월 19일날 신청한 카드가 아직도 배송되지 않았습니다. 결제를 위한 카드발급도 한달가량 걸리나요?
2023-10-11,수령카드의 결제카드 등록 불가 문제
2023-10-11,회원카드
2023-10-11,전기차 회원카드 발급
2023-10-11,차량 정보변경
2023-10-11,회원카드 신규 발급 관련
2023-10-11,9월22일 신청했는데 아직도 환경부 카드를 받지도 못하고 회원번호도 안뜨네요 일하시는건가요?
2023-10-11,충전카드신청 후 원래 이렇게 오래걸리나요?
2023-10-11,차량 변경에 따른 회원카드 재발급 문의
2023-10-11,카드 인식불가
2023-10-11,아직 카드가 접수 중으로 발급 신청이 2주가 되었습니다.
2023-10-10,전기차 충전카드 신청
2023-10-10,환경부카드 발급문의
2023-10-10,결재일 문의
2023-10-10,전기차 누리집 전산 누락관련
2023-10-10,회원카드 신규 발급 관련
2023-10-10,회원카드배송
2023-10-10,신청한 카드를 아직 못받았습니다.
2023-10-10,충전카드 분실로 인한 정지요청
2023-10-10,표지발급 이용신청 권한신청
2023-10-10,회원카드 발급 관련 문의드립니다
2023-10-10,전기차 주차리인
2023-10-09,"회원카드 발급 받았는데, 내 정보에 안뜹니다"
2023-10-09,회원카드 언제 발송되나요?
2023-10-09,완속 충전기 질문드립니다.
2023-10-09,카드 발송해주세요
2023-10-09,카드 발급 안해주나요?
2023-10-08,카드 분실 정지 요청
2023-10-08,충전 시 카드비밀번호 오류
2023-10-08,회원카드 신청/ 배송기간
2023-10-08,카드정지해지방법
2023-10-08,충전료 지급(단위 문제)
2023-10-07,한전 켑코 플러그 등록
2023-10-07,2023년10월7일 원주휴게소 충전 미결제
2023-10-07,신청한 카드 왜 안오는지요?
2023-10-07,결제카드변경하고싶습니다.
2023-10-06,결제카드등록 비밀번호오류횟수
2023-10-06,회원카드 재 발송 문의
2023-10-06,차량번호 변경
2023-10-06,회원카드를 9월26일 신청
2023-10-06,회원카드 발급 배송문의
2023-10-06,2주가 넘었는데 언제 올까요?
2023-10-06,개명
2023-10-06,환경부카드 차량번호가 잘못되어있습니다
2023-10-06,무공해 차량 조회
2023-10-05,완속충전기에 카드를 찍었는데 '이상'이 나옵니다.
2023-10-05,리뉴얼 홈페이지 이용방법
2023-10-05,차량번호가 잘못등록되었어요
2023-10-05,카드 완속충전기 문의
2023-10-05,법인명의 카드신청 문의
2023-10-04,결제 실패 후 재결제
2023-10-04,전기차 차량 변경
2023-10-04,"카드 신청 (9/21), 아직도 문자도 안옵니다."
2023-10-04,타기관 이용요금 조회 엑셀 다운로드 개선 요청
2023-10-04,법인차량을 위한 등록
2023-10-04,충전기 사용제한
2023-10-04,무공해차 통합누리집 홈페이지 관련 건의사항
2023-10-04,타기관 이용요금 조회 엑셀 추출 개선 요청
2023-10-04,홈페이지 SNS 로그인 문의
2023-10-04,회원카드 가입 문의
2023-10-04,회원카드 발급신청 작성 중 에러발생
2023-10-04,주소등록오류
2023-10-04,충전내역 다운로드 이전과 동일하게 변경
2023-10-04,카드신청을 했는데 조회자체가 안됩니다
2023-10-03,카드신청한지 이주가 지났는데 안와요
2023-10-03,회원카드 발급 기간
2023-10-03,차량번호 변경
2023-10-03,차량 번호 변경
2023-10-03,카드신규발급 우편번호 에러
2023-10-02,환경부카드
2023-10-02,회원카드 발송여부
2023-10-02,회원카드 발급 지연
2023-10-01,우편번호 기재가 안되고 에러발생
2023-10-01,회원결재로 처리 되었는가요?
2023-09-30,결제카드를 등록할 회원카드번호를 하나 이상 선택해주세요.
2023-09-30,비밀번호변경
2023-09-29,회원카드 신청후?
2023-09-28,카드 등록이안대요 변경칸이아예없어져있는데요??
2023-09-28,지난주말까지 사용했던 카드가 사용이 안됩니다.
2023-09-27,회원카드가 발급되었는데... 결제 카드 등록이 안됩니다..
2023-09-27,타기관 이용요금 조회 엑셀 다운로드가 이전 처럼 안되네요...
2023-09-27,충전내역 누락 및 담당자 변경
2023-09-27,회원카드 발급 문의
2023-09-27,카드배송문의
2023-09-27,충전내역
2023-09-27,차량이 변경됬습니다
2023-09-27,카드 발급문의
2023-09-26,타기관 이용요금 조회하는데 왜 등록한 차가 아니고 모르는 차 요금이 엑셀 다운 되나요 ?
2023-09-26,표지발급 이용신청
2023-09-26,카드 발급 시기
2023-09-26,무료충전인데 충전요금이 왜 결제되었나요?
2023-09-26,차종마다 연비를 표시한곳이 따로있나요?
2023-09-26,카드발급 언제 되나요?
2023-09-26,충전소 데이터 문의 드립니다.
2023-09-26,회원카드 언제 받을수있는건가요?
2023-09-26,카드발급이 대체 언제쯤 되는지요
2023-09-26,카드발급 언제되나요?
2023-09-26,환경부 전기차충전소 Open API 이용 에러 문의
2023-09-26,회원카드가 언제 발급될까요?
2023-09-26,결제카드 등록
2023-09-26,회원카드 발급 진행상태가 접수상태에서 바뀌지 않습니다
2023-09-26,"회원카드 9월16일 신청, 언제나 발급되나요"
2023-09-26,회원카드 결제
2023-09-25,차량변경이요
2023-09-25,환경부 카드 이용한 타기관 충전
2023-09-25,차랑번호 변경하려면 어떻게 하나요?
2023-09-25,차량번호 변경
2023-09-25,차량번호 변경하고 싶습니다.
2023-09-25,타기관 이용요금 조회 엑셀 다운 오류
2023-09-25,급속충전기 오류코드 관련 문의입니다.
2023-09-25,카드발급신청한지 5일이 지났는데 언제 발급되는건가요?>ㅁㅊㅊㅁ
2023-09-25,야외 전기차 충전시설 우천시 사용 관련
2023-09-25,기존에 발급 받은 카드가 있는데요. 결제카드 등록하려 하니 목록에 안보입니다.
2023-09-25,충전 카드 분실
2023-09-25,카드 발급은 언제 되는건가요?
2023-09-25,10일이 지났는데도...
2023-09-25,회원카드 배송확인
2023-09-25,카드발급 문의
2023-09-25,신차 변경으로 인한 카드 차량번호 변경 요청
2023-09-25,"카드가 안왔는데, 발급완료되었다고 하네요."
2023-09-25,차량번호 변경하고 싶습니다.
2023-09-25,차량 등록 누락
2023-09-25,타기관 이용요금 조회
2023-09-25,충전 영수증이 인쇄가 활성화 되지않습니다.
2023-09-25,회원카드 차량정보 변경 및 내차 무공해확인문의
2023-09-24,결제 카드 등록 오류
2023-09-24,카드발급 언제되나요?
2023-09-24,카드발송
2023-09-23,회원카드발급
2023-09-23,카드 언제 발송되나요
2023-09-22,환경부 멤버십카드 해지요청
2023-09-22,충전기관리 문의
2023-09-22,차량 등록 누락
2023-09-22,결재 카드 등록및 차량 번호 등록 요청
2023-09-22,결제카드 등록 및 차량번호 등록
2023-09-22,카드발급 소요기간 문의
2023-09-22,카드 발급 문의
2023-09-22,카드 신청했는데 언제 배송되는지 알고싶습니다
2023-09-22,타기관 이용요금 조회 안되네요
2023-09-22,카드 신청했는데 언제 발송되나요?
2023-09-22,차량번호 변경
2023-09-22,충전을 못하고 있습니다...충전카드 언제 받을 수있나요?
2023-09-22,회원카드 차량번호 변경
2023-09-22,차량번호 변경 요청드립니다
2023-09-22,결제 카드 등록
2023-09-22,카드는 언제쯤 받을수있나요?
2023-09-21,회원카드 신청 후 발급에 걸리는 시간이 궁금합니다.
2023-09-21,회원카드 분실 후 다시 찾았어요. 사용 가능하게 해주세요
2023-09-21,회원카드 차량 명의
2023-09-21,결제카드 등록 및 결재일
2023-09-21,저공해구매차량 제외승인신청 관련
2023-09-21,카드 내역이 안보입니다.
2023-09-21,차량 번호 변경 요청 드립니다.
2023-09-21,카드해지
2023-09-21,타기관 이용요금 조회 엑셀다운
2023-09-21,불편민원신고센터 관리자 접속
2023-09-21,카드 접수 언제 완료되나요
2023-09-21,회원카드 배송
2023-09-21,저공해차량 확인
2023-09-21,결제카드문의
2023-09-20,카드를 분실했는데
2023-09-20,벤츠 e300e 플러그인 하이브리드 문의
2023-09-20,국가기관(법인등록번호 없음)의 회원가입 가능 방법
2023-09-20,맴버십카드 결제 오류
2023-09-20,타기관 이용요금 조회 엑셀 전환 요청
2023-09-20,타기관이용요금 조회 엑셀저장
2023-09-20,표지발급 이용신청
2023-09-20,타기관 이용자인데 담당자 변경에 따라 기본정보(이름) 변경 가능한가요?
2023-09-20,마이페이지 회원정보 변경 적용이 언제부터 되는지 문의합니다.
2023-09-20,회원카드발급
2023-09-20,타기관 이용요금 조회 엑셀 전환 요청
2023-09-20,홈페이지 리뉴얼 이후 결제 카드 등록이 안되네요
2023-09-20,회원카드 신청
2023-09-20,카드신청하면 카드번호라도 먼저 볼수 있게 해주세요
2023-09-20,회원카드정보변경이 안됩니다
2023-09-20,차량번호 등록요청
2023-09-20,회원카드 배송일 문의드립니다.
2023-09-20,타기관이용요금 조회 관련
2023-09-20,발급된 회원카드 분실로 인하여 정지 후 신규발급 문의
2023-09-20,카드 신청
2023-09-20,2023. 9. 17. 긴급충전 내역 카드정산 미조회
