날짜,제목
2023-12-30,한국전력 충전기 사용불가
2023-12-30,도요타 프리우스 플러그인 하이브리드 전기차 카드 신청자입니다.
2023-12-29,등록 차량 삭제
2023-12-29,회원카드 분실 및 재발급
2023-12-29,전기차 충전기 관련 문의
2023-12-28,bmw i5 구매했는데요
2023-12-27,법인 아이디 비밀번호 확인
2023-12-27,결제 금액 설정할수 있었으면 좋겠습니다.
2023-12-27,중복결제
2023-12-27,결제카드는 체크카드로 등록 불가한가요
2023-12-27,카드수령 언제 되나요?
2023-12-26,카드신청 후 카드 미수령 문의드립니다
2023-12-26,콜센터 직원 왜 짜증이 나있는 걸까요?
2023-12-26,결제카드 등록란에 환경부카드가 없습니다.
2023-12-24,[카드도용] 회원카드가 도용되어 회원카드 중지 및 처리 문의 합니다.
2023-12-23,회원카드 분실 후 재발급 받았는데 예전 카드 정보 삭제 문의
2023-12-23,분실카드 사후관리 방법 문의
2023-12-22,카드 정지 관련 문의 드립니다.
2023-12-22,무공해차 카드 수령 후 결제카드 등록이 안됩니다.
2023-12-22,"12.18 회원카드신청했는데 아직 미수령, 언제오는지요?"
2023-12-21,환경부카드로 환경부 충전기 이용 시 한국전력으로 결제됨.
2023-12-20,환경부 전기차 충전 회원카드 1회 결제 오류 시 기존에 등록해둔 카드로 재결제 시도 가능하도록 개선 요청 드립니다.
2023-12-20,차량번호 변경및 결제카드 등록하고 싶습니다.
2023-12-20,안녕하세요
2023-12-19,차량번호 변경방법
2023-12-19,차데모 충전기 설치건
2023-12-19,기축시설 설치비율
2023-12-18,차량번호 변경 요청
2023-12-18,충전 결재 문의
2023-12-18,선행발급 하느라 번호가 잘못 들어갔어요 변경 부탁 드립니다
2023-12-18,결제 카드 등록은 어떻게 하나요 모두 사라졌는데요 ?
2023-12-18,차량번호 변경요청
2023-12-18,차량번호 변경요청합니다.
2023-12-18,차량 번호 변경요청
2023-12-18,차량번호 변경신청
2023-12-18,차량번호변경요청
2023-12-18,타기관 이용요금 조회
2023-12-17,차량번호 변경바랍니다.
2023-12-17,충전카드발급문의
2023-12-17,차량변경으로 카드차량변경요청
2023-12-17,사용하지 않았는데 충전요금 결제가 되었어요
2023-12-16,포인트등록
2023-12-16,카드 등기 확인부탁드립니다.
2023-12-16,충전
2023-12-16,결제된 충전요금 환불 부탁드립니다
2023-12-16,멤버십 카드로 결제가 안됩니다
2023-12-15,결제카드 등록이 안 됩니다 도와주세요!
2023-12-15,차량정보변경요청합니다
2023-12-15,회원카드 차량 번호 변경 요청 드립니다.
2023-12-15,회원카드 차량 번호 변경 요청입니다.
2023-12-15,차량 판매로 인한 카드삭제
2023-12-15,차량번호 수정요청드립니다.
2023-12-15,회원카드 차량 번호 등록 해주셨는데 오타나셨어요 ㅠ
2023-12-15,차량 번호 변경 요청건
2023-12-15,전기자동차 공공급속충전시설 운영현황 관련 문의드립니다.
2023-12-15,충전카드 차량등록번호 변경 요청
2023-12-14,차량 번호 변경 요청 드립니다.
2023-12-14,실물카드 모바일 등록시 정지된 카드라고 나옵니다.
2023-12-14,충전카드분실후 재발급
2023-12-14,회원카드를 발급받았으나 결제카드 등록에서는 가능한 카드가 안나옵니다.
2023-12-14,타기관 이용요금 조회 안됨
2023-12-14,모바일앱 개발 요청의 건
2023-12-14,차량번호 변경 요청드립니다.
2023-12-14,법인사업자 아이디 이름 변경
2023-12-14,"임시번호판으로 발급했는데, 차량번호변경 어떻게 하나요?"
2023-12-14,차량번호 변경요청
2023-12-13,"회원카드, 결제카드 관련 문의"
2023-12-13,차량번호 변경 부탁 드립니다.
2023-12-12,회원카드 관리 > 결제카드 등록 불가 조치 요청
2023-12-12,등록된 차량번호변경은 어떻게하나요?
2023-12-12,차량번호 변경 요청
2023-12-12,차량번호변경 및 결재카드 입력 요청
2023-12-12,차량번호 변경 요청 드립니다.
2023-12-12,차량번호 변경 요청드립니다.
2023-12-12,비밀번호 변경 문의
2023-12-12,등기가 반송되었습니다. 재 발송 부탁드립니다.
2023-12-12,차량번호 변경 부탁 드립니다.
2023-12-12,차량번호 변경요청드립니다.
2023-12-11,차량번호 변경 요청드려요
2023-12-11,이용요금 조회 시 영수증 인쇄창이 뜨지 않는 오류 처리 요청
2023-12-11,차량번호 변경
2023-12-11,차량번호 변경요청
2023-12-11,차량을 받아서 미리 발급받은 회원카드의 차량정보를 수정하려는 데 어디서 하나요?
2023-12-10,회원카드 언제 오나요?
2023-12-10,토레스 전기차
2023-12-09,정지된카드라고 나옵니다
2023-12-09,차량번호변경요청
2023-12-09,차량정보 변경 요청드립니다
2023-12-09,차량번호 변경 요청
2023-12-08,차량번호 수정
2023-12-08,수소전기차관련 질의 있습니다
2023-12-08,선불카드는 없나요
2023-12-07,차량번호 변경 요청
2023-12-07,충전카드사용
2023-12-07,카드발급 받았는데 등록이 안됨.
2023-12-07,무공해차 통합누리집 가까운 충전소 찾기 전기차 충전기 현황 자료 수정 요청합니다.
2023-12-07,카드발급 등기 못받으
2023-12-06,결제카드 등록
2023-12-06,회원카드 차량번호 수정
2023-12-06,회원카드 번호 조회가 되지 않습니다
2023-12-06,차량번호수정
2023-12-06,충전소 현황 관리 요청
2023-12-06,[1221][실시간빌링실패|비밀번호 오류회수초과]
2023-12-06,차량번호 수정
2023-12-06,차량번호수정
2023-12-06,법인회원카드 신청방법
2023-12-05,차량 목록
2023-12-05,"차량번호판을 교체하였는데, 정보수정이 가능할까요?"
2023-12-05,회원카드 신청에 관해서
2023-12-05,환경부카드 등기발송 문의
2023-12-05,회원카드 등기발송
2023-12-05,차량번호 변경을 하고싶습니다.
2023-12-04,차량번호 변경 문의 및 결제카드 등록 문의
2023-12-04,카드 발급 관련 문의
2023-12-04,차량번호 변경신청
2023-12-04,타기관 이용요금 조회 관련
2023-12-04,차량번호 변경 문의
2023-12-04,비밀번호 변경 문의
2023-12-04,결제카드 변경 후 잔액부족이라고 메세지가 나는 오류
2023-12-03,결재카드 변경
2023-12-02,결제 오류건 문의
2023-12-02,차량번호 변경 신청
2023-12-01,결제카드 등록 오류
2023-12-01,법인 회원 이름 변경 관련 문의
2023-12-01,충전소 리스트 엑셀에 충전용량 정보 미기재 항목이 너무 많습니다.
2023-12-01,차량번호 변경 신청
2023-11-30,결제카드 등록 어떻게 하나요
2023-11-30,충전요금 결제 내역과 홈페이지 충전내역의 불일치
2023-11-30,결제 카드 등록
2023-11-29,차량 번호 등록 변경 신청
2023-11-29,결제카드 등록
2023-11-29,환경부 카드 반송되어서 재발송될수 없나요?
2023-11-29,비밀번호 문의
2023-11-29,[모바일 카드 등록 문의]
2023-11-29,차량번호 변경 요청 합니다
2023-11-28,결제 카드를 등록하였으나 인증 실패 창이 뜹니다.
2023-11-28,카드발급기간 문의건
2023-11-28,회원카드발급
2023-11-28,카드 우선 신청 후 차량번호 변경 가능여부 질의
2023-11-28,차량 변경으로 인한 카드변경
2023-11-28,차량 이전으로 인한 카드 해지
2023-11-28,카드를 바꿔야합니다.
2023-11-27,회원카드 관련 문의
2023-11-27,충전단가 확인은 어디서 할수 있나요?
2023-11-27,기존회원카드 소지자 차량번호 변경
2023-11-27,실물 결제 카드 차량 번호 수정이 가능한가요?
2023-11-27,카드 발급
2023-11-26,카드가 도착하지 않았는데 배송완료로 나옵니다.
2023-11-26,실물카드 발송 및 모바일 카드 사용
2023-11-25,차량번호 변경
2023-11-25,카드 수령후 결제카드 등록
2023-11-25,분실신고해제요청
2023-11-25,결제승인
2023-11-25,회원카드 배송 확인
2023-11-25,차량번호 변경
2023-11-24,차량교체
2023-11-24,충전요금조회 안됨
2023-11-24,담당자 변경으로 휴대전화번호 변경 요청합니다.
2023-11-24,회원카드 발급후 결제카드 등록 안됨
2023-11-24,카드발급문의
2023-11-24,충전전용 멤버쉽카드 폐기방법 문의드립니다.
2023-11-23,충전카드 문의
2023-11-23,회원카드 차량 번호 등록
2023-11-23,회원 카드 발급 후 차량 번호 변경 및 결제카드 등록
2023-11-23,결제카드 등록 관련 문의 입니다.
2023-11-23,10&11월 충전이용내역서 문의
2023-11-23,카드발급 문의
2023-11-22,카드발급 문의
2023-11-22,회원카드 현황
2023-11-22,차량 번호 변경
2023-11-22,차량번호 변경 부탁 드립니다.
2023-11-22,결제오류 문의
2023-11-22,회원카드 차량번호 변경 부탁합니다.
2023-11-22,카드배송 언제되나요
2023-11-22,카드 배송일정 문의
2023-11-22,결제카드 등록
2023-11-22,카드배송관련
2023-11-22,회원카드 배송관련
2023-11-22,충전요금이 이상 합니다.
2023-11-21,티머니 기능이 있는 카드로 발급하려면 어떻게 해야 하나요?
2023-11-21,회원정보 수정 관련
2023-11-21,11월 3일자 충전 이용내역 조회 불가
2023-11-21,충전소 업데이트
2023-11-21,카드발급이 아직 안 되고 있습니다.
2023-11-21,판매한 전기차 정보삭제는?
2023-11-21,&#34;결제카드 등록&#34; 일괄결제 및 조회건수
2023-11-21,배송 문의
2023-11-21,차량번호 변경
2023-11-21,회원카드 발급일정 문의
2023-11-20,회원카드 등록 차량번호 변경
2023-11-20,회원카드 언제 발급 되나요??
2023-11-20,11월9일 카드 신청 아직도 접수 상태인데..
2023-11-20,충전후 부분취소 실패.
2023-11-20,차량번호 변경으로 연락드렸습니다.
2023-11-20,부부이용
2023-11-19,충전기의 위치 표시 방식
2023-11-18,회원카드 차량정보 변경
2023-11-18,11월8일 신청한 카드는 언제 발급되나요?
2023-11-18,차량번호 등록 및 카드분실 변경건
2023-11-17,법인 계정 가입 어떻게하라는거죠.. 그리고 검색조건에 공개/비공개 옵션좀 추가해주세요
2023-11-17,모바일카드 실물카드 동시 사용가능여부
2023-11-17,카드발급
2023-11-17,회원카드와 결제카드 연동 관련 문의
2023-11-16,환경부카드 재발급 부탁드립니다
2023-11-16,카드 발급문의
2023-11-16,차량번호 변경
2023-11-16,11월1일 신청자 카드발급
2023-11-16,차량번호 변경의 건
2023-11-15,11월 6일에 카드를 신청 했는데 언제 쯤 오나요?
2023-11-15,카드신청 2주 지나갑니다
2023-11-15,회원카드 연결 신용카드 결제 불가
2023-11-14,차량번호변경요청
2023-11-14,차량번호 변경 요청의 건
2023-11-14,카드신청
2023-11-14,차량번호 변경요청
2023-11-14,11/9 신청했는데 언제 카드 발송되는건가요
2023-11-13,10월 25일 신청한 카드
2023-11-13,카드언제오나요?
2023-11-13,언제 발급되나요?
2023-11-13,카드 발급 관련
2023-11-13,회원카드 분실로 재발급 요창하엿는데 언제 받을 수 잇나요??
2023-11-12,충전소 운영시간 변경 요청
2023-11-12,카드발급관련
2023-11-11,카드 차량번호 변경 요청입니다
2023-11-11,차량번호 변경 요청드립니다
2023-11-10,등록된 정상 카드 _ 홈앤차지 이용 기계 오류로 인한 결재비밀번호 오류 발생건
