날짜,제목
2019-12-31,카드 재발급에 대해 문의드립니다
2019-12-30,공공충전인프라 멤버십카드
2019-12-30,결제카드연결 자체가 안돼요!!
2019-12-30,차량번호 변경요청
2019-12-30,금액 청구관련 질문입니다.
2019-12-29,거창휴게소(옥포방향) 01 충전기 DC콤보 고장입니다
2019-12-28,전기충전 카드 신청하였으나 모델이 없습니다.
2019-12-27,충전기 사용여부 질문 입니다.
2019-12-27,충전 내역은 어디서 확인하나요?
2019-12-27,전기차모델
2019-12-27,충전소 점검 및 수리 요청(인천 서구)
2019-12-27,멤버쉽카드결제문의
2019-12-26,복지카드 소지자에 대한 감면 계획 문의
2019-12-26,차량번호 변경요청드립니다.
2019-12-26,공동주택 부분공용 완속충전기 예약충전관련
2019-12-26,카드 수령 후 결제 카드 등록 문의
2019-12-25,카드사용
2019-12-25,플러그인 하이브리드 카드 신청에 대해 문의드립니다.
2019-12-25,플러그인하이브리드 충전카드 관련해서 문의드립니다.
2019-12-25,환경부 전기차 카드를 읽어 버렸습니다.
2019-12-24,차량번호 변경신청
2019-12-23,카드수령
2019-12-23,결제카드 등록
2019-12-23,카드재발급
2019-12-23,충전요금
2019-12-23,차량번호 등록및 결재 카드 등록 요청드립니다
2019-12-22,복합충전기(신규설치100키와트 속도관련문의)
2019-12-22,"충전소찾기 지도에서 ""충전중""말고 충전시작시간표시로 바꿔주세요 및 그외 수정요망"
2019-12-22,회원카드 수령 이후 등록방법 문의
2019-12-22,수소차는 충전 할인 카드가 없나요?
2019-12-21,차량번호 변경 부탁드립니다.
2019-12-21,차량 번호 변경 부탁드립니다.
2019-12-20,등록 차량번호 변경 요청
2019-12-20,회원카드는 받았는데 마이페이지 회원카드관리에서 조회가 안 되네요
2019-12-20,차량 등록 요청 드립니다.
2019-12-20,차량번호 변경을 어디서 해야 하나요?
2019-12-19,카드 분실로 재발급관련 문의 외
2019-12-19,결제 카드 관리
2019-12-18,차량을 매도하고 새로운 차량을 구입했는데 차량등록 정보 변경이 안되네요..
2019-12-18,차량번호 변경신청
2019-12-18,회원카드 차량번호 변경 신청
2019-12-18,지역별 보조금이 궁금합니다.
2019-12-18,차량번호 등록 부탁드립니다.
2019-12-18,환경부 급속충전기 고장의 건
2019-12-18,차량번호 변경
2019-12-18,신규 카드 발급 기간에 대해 알고 싶습니다.
2019-12-17,차량번호 변경
2019-12-17,차량번호 변경 요청
2019-12-17,차량 번호 변경 요청 드립니다.
2019-12-17,회원 정보 변경의 건
2019-12-17,차량번호 변경 요청
2019-12-17,차량번호 변경 요청합니다.
2019-12-17,카드에 적용 될 차 번호를 변경하려 합니다.
2019-12-16,회원카드 배송 상태 문의
2019-12-16,차량번호 변경 요청의 건
2019-12-16,차량번호 요청합니다. 그리고 카드가 안와요.
2019-12-16,차량번호 변경요청 합니다
2019-12-16,차량번호 변경 요청 건
2019-12-16,차량번호 변경요청건
2019-12-15,교부된 카드 상태 확인 요청
2019-12-15,주소이전 관련 문의드립니다.
2019-12-15,회원카드 재발급 요청
2019-12-14,반송된 환경부 카드 재발급요청
2019-12-14,결제카드관리 및 차량번호 변경
2019-12-14,차량번호 변경 요청 건
2019-12-14,환경부 충전카드 발급 관련 문의
2019-12-14,차량번호 변경 부탁드립니다.
2019-12-14,차량번호 변경 요청 드립니다.
2019-12-13,차량번호 변경요청합니다.
2019-12-13,차량번호 등록 바랍니다.
2019-12-13,차량번호 및 카드발급 질문합니다.
2019-12-13,차량번호 정정 요청합니다
2019-12-13,차량번호 변경 요청드립니다.
2019-12-13,차량번호수정
2019-12-13,카드에 등록된 차랑번호 변경 요청드립니다.
2019-12-13,차량임시번호 변경 요청드립니다.
2019-12-12,완속충전이용요금 결제일 변경 문의
2019-12-12,결제카드 관련 문의 합니다
2019-12-12,차량번호 변경을 어떻게 하는가요?
2019-12-12,[긴급] 임시번호로 등록된 카드 차량번호변경 긴급요청
2019-12-12,임시차량번호로 발급신청한 카드의 차량번호 변경요청드립니다.
2019-12-12,회원카드 등록된 차량번호 변경
2019-12-12,전기차 카드 임시 차량번호 변경 요청
2019-12-12,전기차 카드 임시 차량번호 변경 요청
2019-12-12,차량번호 변경요청
2019-12-11,차량번호변경 및 결재카드 등록문의
2019-12-11,차량번호 변경 요청드립니다.
2019-12-11,회원정보 이메일 수정을 하려고 합니다.
2019-12-11,2020년 전기차 취득세 어떻게 되나요?
2019-12-11,재문의드립니다
2019-12-11,회원탈퇴 방법
2019-12-11,타기관 이용요금 조회 관련 문의
2019-12-11,결제카드변경문의드립니다
2019-12-10,차량번호 변경요청
2019-12-10,차량번호
2019-12-10,차량번호 변경 요청건
2019-12-10,차량번호 변경이 필요합니다.
2019-12-10,회원카드 및 결제 관련 문의드립니다.
2019-12-10,차량 번호 등록
2019-12-10,차량번호가 잘못 들어가있습니다. 변경해주세요.
2019-12-10,차량번호 변경요청드립니다
2019-12-10,보조금 신청기간 문의
2019-12-10,차량 번호 변경 요청
2019-12-10,회원카드 및 결제 관련 문의드립니다 .
2019-12-10,환경부 전기차 충전 카드를 발급받고 차량정보 수정 가능한가요
2019-12-10,회원카드 및 결제 관련 문의드립니다.
2019-12-10,차량번호 변경요청드립니다
2019-12-10,차량번호 등록 요청
2019-12-10,차량 번호 변경 요청
2019-12-10,회원카드 대리 수령 가부 문의 건
2019-12-09,차량 번호 변경 요청드립니다.
2019-12-09,결제카드 관리
2019-12-09,차 번호 변경 요청 드립니다.
2019-12-09,카드 신청서 작성시 문의
2019-12-09,전기차 충전소 위치 업데이트 요청
2019-12-09,차량번호 변경 부탁드립니다.
2019-12-09,차량번호 변경 부탁드립니다.
2019-12-08,차량번호 변경 부탁드립니다.
2019-12-08,카드발급
2019-12-08,차량번호변경 관련건
2019-12-07,충전카드를발급 받았는데 회원정보에 발급카드가 아무것도 나오지 않습니다.
2019-12-07,"차량번호 변경 부탁드립니다.,"
2019-12-07,충전후 충전기 연결이 잘 못 되었다는 메씨지가 옵니다.
2019-12-07,차량번호 변경부탁드립니다.
2019-12-07,차량번호 변경 요청 드립니다.
2019-12-07,차량번호 변경 부탁드립니다
2019-12-06,차량 번호 수정 요청드립니다.
2019-12-06,충전카드문의
2019-12-06,차량 번호 수정 요청드립니다.
2019-12-06,카드발급시 차량번호 문의드립니다.
2019-12-06,차량번호 변경 요청합니다.
2019-12-06,결제카드 등록하기
2019-12-06,차량번호 변경 요청합니다.
2019-12-06,결제요금 조회
2019-12-06,충전소 문의드립니다.
2019-12-05,차량번호 등록 요청
2019-12-05,충전카드
2019-12-05,차량번호 변경 요청 드립니다
2019-12-05,차량번호 수정 부탁드립니다.
2019-12-05,차량번호 변경요청합니다.
2019-12-05,전기차 충전 시설 이용 불가 건.
2019-12-05,차량번호 변경 부탁 드립니다.
2019-12-05,충전소 설치 문의
2019-12-05,전기자동차 보조금 지급 불가
2019-12-05,차량 번호 변경 요청 드립니다.
2019-12-04,카드정보 수정 및 결제카드 등록
2019-12-04,제주보건소 급속충전기 DC콤보 불량으로 잘못된 결제 환불요청
2019-12-04,차량번호 변경
2019-12-04,충전기 문의
2019-12-04,차량번호 변경 부탁드립니다.
2019-12-04,차량번호 변경 요청건
2019-12-04,결제 카드 변경
2019-12-04,차량번호 변경 요청
2019-12-04,차량번호 변경요청
2019-12-04,차량종류 질문
2019-12-04,차량번호 변경 요청
2019-12-03,차량번호 변경 요청드립니다.
2019-12-03,주소이전시 보조금 반환해야 하나요 ?
2019-12-03,차량번호 변경 부탁드립니다.
2019-12-03,차량번호 변경바랍니다
2019-12-03,구매보조금 신청 시스템 제조사id 승인 관련
2019-12-03,전기차 구매 보조금
2019-12-03,사유지의 충전소도 공공에게 오픈되는지 궁금합니다.
2019-12-03,결제카드 중단
2019-12-03,차량번호 번경 요청드립니다.
2019-12-02,차량번호 변경 요청드립니다.
2019-12-02,회원카드 현장발급 문의
2019-12-02,차량번호 변경 문의드립니다.
2019-12-02,결재카드 등록 문의 사항
2019-12-02,차량번호 변경 요청 드립니다.
2019-12-02,급속충전기 언제쯤이나 고춰주나요 속터져 죽네요
2019-12-02,차량번경은 어디서 하나요?
2019-12-02,문의드립니다.
2019-12-02,차량번호 변경 요청
2019-12-02,결제카드 중단
2019-12-02,차량번호 변경 요청합니다.
2019-12-02,차량 번호 변경요청
2019-11-30,차량번호 변경요청
2019-11-30,차량번호 변경요청
2019-11-30,차량번호 수정부탁드립니다.
2019-11-30,차량번호 수정 부탁드려요
2019-11-30,차량번호 수정부탁드립니다.
2019-11-29,차량 번호 변경 부탁드립니다.
2019-11-29,차량 번호 변경 부탁드립니다
2019-11-29,트위지 카드발급관련
2019-11-29,고장난 충전기 수리 요청은 어디로 하나요?(환경부 충전기)
2019-11-29,법인차량 카드신청
