날짜,제목
2019-11-29,차량 번호 변경 요청 드립니다
2019-11-29,"처음 이용하는데 충전기 이용시 ""카드결재가 취소되었습니다""문구가 나옵니다."
2019-11-28,카드 차량번호 변경 요청
2019-11-28,충전 카드 비용 환불 요청
2019-11-28,공용충전기 및 충전 태그 설치에 관공서가 적극적이었으면 좋겠습니다.
2019-11-28,차량 번호 변경
2019-11-28,차량 번호 변경
2019-11-28,전기차 충전콘센트 설치공사 관련
2019-11-28,차량 번호 변경 요청 드립니다.
2019-11-28,차량번호 변경 요청합니다.
2019-11-27,충전 결제카드
2019-11-27,차량 번호 변경 요청
2019-11-27,차량번호 변경방법을 알려주세요.
2019-11-27,차량번호 수정 문의
2019-11-27,차량번호 수정요청
2019-11-27,차량번호 변경문의
2019-11-26,서울시 월계헬스케어센터 완속 충전기 운영시간
2019-11-26,티머니 사용후 전기 충전카드 안먹네요
2019-11-26,차량번호 수정요청
2019-11-26,급속충전소 수리의 건
2019-11-26,타기관 이용내역 영수증 및 월별 결제
2019-11-26,차량 번호 변경요청
2019-11-26,환경부카드수령관련
2019-11-26,차량 번호 변경 요청
2019-11-26,회원카드사용 내역 미통보
2019-11-26,차량번호 변경요청
2019-11-26,충전기 고장 점검 및 요금 반환 요청
2019-11-25,차량번호 변경요청
2019-11-25,회원카드 차량 번호 등록 요청
2019-11-25,차량번호 변경 요청드립니다.
2019-11-25,충전소 현황 파일
2019-11-25,카드발급
2019-11-25,차량번호 변경요청
2019-11-25,차량등록 추가 부탁드립니다
2019-11-25,회원카드 신청시 확인사항
2019-11-25,차량번호 변경 요청
2019-11-24,차량번호 변경 부탁합니다. 그리고 결재 카드 회원 카드 등록 부탁합니다.
2019-11-24,차량번호 변경부탁드립니다.
2019-11-23,"포스코ICT(차지비, 차지EV)기기를 환경부 카드로 로밍 사용 인증실패문제"
2019-11-23,차량번호 변경 부탁드립니다.
2019-11-22,차량번호 수정하는 방법과 신용카드 연결하는 방법을 알려주세요
2019-11-22,전기차 충정소 설치 업체 등록 문의 드립니다.
2019-11-22,차량번호 및 카드등록
2019-11-22,차량번호 변경 부탁드립니다.
2019-11-21,차량번호 변경 요청 드립니다.
2019-11-21,차량번호 변경 부탁드립니다.
2019-11-21,차량번호 변경 부탁드립니다.
2019-11-21,차량 번호 승인 부탁드립니다.
2019-11-21,차량번호 변경요청드립니다.
2019-11-21,충전소 정보 표기 오류 표기
2019-11-21,충전기 상태가 이상합니다
2019-11-21,차량 번호 변경 요청드립니다
2019-11-20,공공충전인프라 카드 수령후 결제카드등록???
2019-11-20,차량번호 변경부탁드려요.
2019-11-20,충전소문의
2019-11-20,충전기 위치 수정 요청
2019-11-20,차량번호 번경 요청 드립니다
2019-11-20,급속충전속도 점검요청
2019-11-20,결제카드등록 관련
2019-11-19,차량번호 변경 부탁 드립니다.
2019-11-19,차량번호 변경 부탁 드립니다.
2019-11-19,결재카드 등록
2019-11-19,충전요금 조회가 안됩니다
2019-11-19,차량번호 번경 요청 드립니다
2019-11-19,롯데마트 삼양점 기기 오류가 계속 나서 충전 못했습니다.
2019-11-19,차량번호 변경 및 카드 등록이 안되어 사용하지 못하고 있어요.
2019-11-19,급속 충전기 보수 요청 (화정롯데마트)
2019-11-18,차량번호 변경 부탁 드립니다.
2019-11-18,환경부 소관 전기차 충전기의 접촉불량을 개선해주세요
2019-11-18,전기차 충전 정보 내용 관련 질문
2019-11-18,차량번호 변경 요청드립니다.
2019-11-18,차량번호 변경요청
2019-11-18,차량번호 변경 요청
2019-11-17,차량번호 변경
2019-11-17,차량번호 변경
2019-11-17,차량 번호 번경 요청 드립니다.
2019-11-17,개인정보 수정시 왜 맞는 비번에 오류가 계속 나죠?
2019-11-16,차량번호 변경 요청드립니다.
2019-11-16,EV infra 앱 로그인시 카카오 계정만 가능한가요?
2019-11-16,선착순
2019-11-16,차량번호변경해주세요.
2019-11-16,차량번호 변경 요청드립니다.
2019-11-16,차량번호 변경 해주세요
2019-11-16,차량 번호 변경 부탁드립니다.
2019-11-15,차량번호 변경 요청드립니다.
2019-11-15,차량번호 변경 부탁드려요
2019-11-15,충전카드 사용을 위한 차량번호 변경 부탁드립니다.
2019-11-15,차량번호 변경 부탁드립니다.
2019-11-15,차량 번호 변경요청드립니다.
2019-11-15,차량번호 변경 요청합니다...
2019-11-14,결제 카드 및 차량번호 변경
2019-11-14,자동차 등록번호 변경 부탁드립니다.
2019-11-14,차량번호 변경해주세요.
2019-11-14,회원카드 차량번호 변경
2019-11-14,차량번호 등록 요청 드립니다.
2019-11-14,전기차 충전 시스템 관련 궁금점이 있어 문의드립니다.
2019-11-14,차량번호 변경 요청드립니다.
2019-11-14,충전요금 관련 문의입니다
2019-11-14,환경부충전카드 미수령
2019-11-13,차량번호 변경 요청드려요
2019-11-13,차량 번호 변경 요청드립니다.
2019-11-13,결제카드 등록이 안됩니다
2019-11-13,충전요금 관련 문의드립니다.
2019-11-13,차량번호 변경 요청드립니다.
2019-11-13,차량번호 변경신청
2019-11-13,차량 번호 변경 요청 입니다.
2019-11-13,차량번호 등록 요청합니다.
2019-11-13,차량번호 변경 요청드립니다~
2019-11-12,차량번호 변경 요청드립니다.
2019-11-12,차량번호 변경해주세요
2019-11-12,차량번호 변경 요청
2019-11-12,차량번호 변경 요청드립니다.
2019-11-12,차량번호 변경 요청
2019-11-12,차량번호 변경의 건
2019-11-11,카드 발급 관련
2019-11-11,회원카드 신청 입력 시 차량모델
2019-11-11,카드가 발급완료 되었다고 하는데 받지 못했습니다.
2019-11-11,한국도로공사 대전지사내 급속충전기 에러로 충전이 안되니 수리 바랍니다
2019-11-10,충전기 고장신고
2019-11-10,멤버십카드 차량번호 변경
2019-11-08,차량번호 변경 요청
2019-11-08,성남 맛고을 주차장 급속충전기 수리요청
2019-11-08,차량번호 변경 요청건.
2019-11-08,회원번호
2019-11-07,카드발급에 대하여
2019-11-07,질문
2019-11-07,결재카드 등록 문의
2019-11-07,이륜차 정보 보조금
2019-11-07,"타기관 이용요금 조회 시 (급속, 완속) 충전기 구분 요청"
2019-11-06,차량번호 변경 문의
2019-11-06,차량번호 수정 부탁드립니다
2019-11-06,질문
2019-11-06,20년도 급속충전기 기본요금 문의
2019-11-05,회원카드 발급 소요기일에 관한 건
2019-11-05,회원카드발급 관련 문의
2019-11-04,차량번호 변경
2019-11-04,카드신청시 차량번호 잘못기입
2019-11-04,회원카드 신청했는데... '접수' 상태 입니다
2019-11-04,충전기 시설관련
2019-11-04,국립공원 주차비
2019-11-02,환경부 카드 분실신고 및 재발급 문의입니다.
2019-11-01,카드 분실 신고합니다
2019-11-01,충전카드 언제 받을수 있나요..
2019-11-01,회원카드 발급
2019-10-31,차량번호 변경 신청합니다.
2019-10-31,차량번호변경
2019-10-31,회원카드발급이 언제되나요?
2019-10-31,카드 신청 하고 일주일 정도가 지났는데 계속 등기 접수라고만 나와서 문의 드립니다.
2019-10-31,API 추가 건의드립니다.
2019-10-30,무료충전소 증설요청
2019-10-30,회원카드 . 차량번호 수정 및 빠른카드배송 부탁드립니다.
2019-10-30,전기차 카드 사용
2019-10-30,회원정보 변경 문의드립니다.
2019-10-30,"환경부 카드로 급속, 완속 모두 사용가능한가요?"
2019-10-29,차량번호 변경
2019-10-29,차량 모델 선택
2019-10-29,카드
2019-10-29,충전오류 내역 환불건
2019-10-28,차량번호 변경 부탁드립니다.
2019-10-28,불편 사항
2019-10-27,카드 취소 확인좀
2019-10-26,카드발급이 늦네요~
2019-10-26,차량번호 변경 신청합니다.
2019-10-25,재발급 문의
2019-10-25,회원 카드 추가 발행 가능 여부
2019-10-24,차량번호가 나왔어요
2019-10-24,관내 환경부 전기차 충전기 이전 검토 요청
2019-10-24,환경부 충전기 중 대영채비에서 설치된 차데모 충전기에 테슬라 충전 가능 스티커 부착 요구
2019-10-23,현장발급으로 신청햇는데
2019-10-23,[문의]시간 구간별 적용되는 충전 요금?
2019-10-23,[문의] 기본 요금으로 가능한 충전량?
2019-10-23,회원(멤버십)카드 신청을 했는데~ 언제 수령가능한가요?
2019-10-23,로밍연동 담장자님께
2019-10-23,충전료 문의
2019-10-23,카드 발송이 된건가요?
2019-10-22,고속도로 차데모 충전 케이블 추가해 주세요
2019-10-22,멤버쉽카드 비밀번호
2019-10-22,개인정보관리 비밀번호를 잊어버렸어요
2019-10-22,타기관충전기 이용요금조회
2019-10-22,충전 차액 환불이 되지 않아 문의 드립니다.
2019-10-20,회원카드 발급이요.
2019-10-19,카드가 안왔습니다
2019-10-18,차량인수에 따른 차량번호 변경등록입니다.
2019-10-18,차량번호 변경 요청
2019-10-18,차량번호 변경신청
2019-10-18,충전카드 발급소요시간
2019-10-18,전기차 충전소 api
2019-10-18,[재문의] 트위지 차량 완속충전기 사용 방법
2019-10-18,충전기카드
2019-10-18,충전금액 설정
2019-10-18,회원카드배송
2019-10-17,충전카드 신청
2019-10-17,"회원카드 발급,신청 관련 진행사항 문의드립니다."
2019-10-17,전기차충전소 신형 불편사항
2019-10-17,회원카드신청하려는데 옵션에 테슬라 모델3가 없어요. 옵션 추가해주세요
2019-10-17,카드번호 언제 나오나요? 행정처리가 늦은것 아닌가요?
2019-10-16,회원카드를 발급받으려고 하는데요 플러그인 차량(완속 전용)은 안되는 건가요?
2019-10-16,보조금 지원 신청 후 보조금 지원 승인대상 결정 통보 처리 기간
2019-10-16,파워큐브코리아 이동형충전기 승인 절차 문의
2019-10-16,카드발급 신청을 한참전에 했는데요.
2019-10-15,카드발급확인
2019-10-14,차량 번호 변경 부탁 드립니다.
2019-10-14,카드발급 소요기간?
2019-10-14,차량번호 수정 및 카드 재발급 요청의 건.
2019-10-13,"현재 차가 출고 되었고, 출고된 날 카드 신청해놓았습니다. (10/10)"
2019-10-13,"입력창에 멤버십카드를 텃치하였더니, 카드등록이 안되었다고 뜨네요 ㅠㅠ"
2019-10-12,전기차 신청 관련
2019-10-12,카드 발급확인요청
2019-10-11,엘포인트 결제로 했는데 결제카드 이중결제.
2019-10-10,차량 변경으로 인한 회원카드 정보 변경 요청
2019-10-10,차량변경으로 카드정보 변경 요청합니다.
2019-10-09,차량 변경시 기존카드를 변경 후 차량에 이용
2019-10-08,공용 충전기엔 예약충전을 막아둬야 하지 않을까요?
2019-10-07,차량 번호 변경 부탁 드립니다.
2019-10-07,법인 신청자 기본정보 변경관련
2019-10-07,환경부 충전카드로 충전했는데요.
2019-10-07,차량번호등록
2019-10-07,차량번호 변경 요청드립니다.
2019-10-07,회원카드/법인등록 관련 질문
2019-10-06,"환경부 충전 카드로 타사 충전기에서 충전했는데, 내역이 문자로 오지 않네요."
2019-10-05,카드 사용이 안됩니다
2019-10-05,충전종료시간 표시 요청
2019-10-04,서울 중랑구 면목동 홈플러스 주차장 충전기에 대해
2019-10-02,차량번호 수정 부탁드립니다~~
2019-10-02,트위지 충전 어려움 토로.
2019-10-02,결제카드 변경문의
2019-10-02,차량번호 수정 부탁드립니다
2019-10-02,엘포인트 결제건 카드 승인 취소 문의
2019-10-02,차량번호 수정 부탁합니다.
2019-10-01,회원카드
2019-09-29,전주 동남부권 공용주차장 전기차 충전기 4 대 전부고장
2019-09-28,충전기고장 제보하기로 사용자의 불편 최소화 방안
2019-09-28,보령시 전기차 충전소 지도의 갱신을 부탁 드립니다.
2019-09-28,고창 고인돌공원 급속 충전기 몇번째 고장인지 모르겠습니다.
2019-09-28,차량번호 수정 부탁드립니다.
2019-09-28,충전카드 미수령 및 차량번호 수정 요청의 건
2019-09-28,충전카드 분실 뒤 찾았는데 재발급을 받았습니다.
2019-09-28,충전을 포인트로 했는데 2중결제가 되었습니다.
2019-09-26,차량번호 변경 요청합니다
2019-09-26,국가보조금 혜택가능여부
2019-09-26,모바일 타사 충전요금 조회 화면 요청
2019-09-26,전기차 충전시 시동불가 관련 법령/지침/가이드라인이 나와있는게 있나요??
2019-09-25,국가보조금 혜택가능여부
2019-09-25,이동식 충전기 신청후 승인이 너무 늦습니다.(9/3일 접수)
2019-09-25,전기오토바이 충전관련 질문입니다.
2019-09-25,충전소 상태정보 API
2019-09-25,결제 카드 등록을 어디서 하는건가요?
2019-09-25,카카오톡 계정연결이 잘못되었는데 못ㅂ바꿉니까
2019-09-24,보조금 지급 대상 가능 여부
2019-09-23,회원 카드발급 처리기한 있었으면 합니다.
2019-09-23,완속충전기 고장 관련 문의
2019-09-23,결제카드 등록
2019-09-23,임시번호
2019-09-23,카드 차량번호 변경 요청
2019-09-23,카드 결재 후 에러나서 재 결재 충전함 (에러에 따른 최초 결재 내역 환불 문의)
2019-09-20,결제카드 관련 문의
2019-09-20,회원카드 연결 차량 변경
2019-09-18,카드번호로 충전하기 오류
2019-09-18,문의
2019-09-18,카드 차량번호 변경 요청
2019-09-17,회원카드 문의
2019-09-17,청통휴게소 충전기 작동이 안됩니다~
2019-09-17,이용요금 명세서등 결제 금액이 조회안되요
2019-09-17,타기관 API문의드립니다.
2019-09-17,비회원 관련 문의
2019-09-17,전기차충전기관련 문의
2019-09-17,차량번호 변경
2019-09-17,프로모션 카드 내역
2019-09-17,차량번호 변경 요청합니다.
2019-09-16,"결제가 이중으로 되었습니다. (엘포인트, 신용카드(간편결제)"
2019-09-16,환경부카드 신청해서 받았는데
2019-09-16,카드 발급 관련 질문 드립니다.
2019-09-16,카드발급
2019-09-16,보조금이 끝난 지역은 내년까지 무조건 기다려야 하나요?
2019-09-16,충전기 고장신고 (시흥 갯골생태공원)
2019-09-16,결제카드 재등록시
2019-09-16,충전 코드가 안빠져요
2019-09-16,카드를 쓰려고 하면 등록이 안 되었다고 하는데요.
2019-09-14,카드등록이 안되요???
2019-09-14,전기차 충전방법 문의
2019-09-14,카드/포인트 중복 결제
2019-09-14,충전 커넥터가 차에서 안빠져요
2019-09-11,고장신고
2019-09-11,비공용 충전기 AS 지연 문제
2019-09-11,차량번호 수정 요청합니다.
2019-09-11,하남시 스타필드 충전기 추가설치 요청
2019-09-11,대전시청 지하주차장 완속충전기 이용 문의
2019-09-11,모텔 내부에 설치된 완속충전기 이용에 관한 질문
2019-09-10,차량번호 수정부탁드립니다.
2019-09-10,결제카드 내용 조회 불가 및 변경 불가
2019-09-10,차량번호변경 부탁드립니다
2019-09-09,차량번호 변경 요청드립니다.
2019-09-09,장유휴게소 충전기 1주일이...넘었는데...
2019-09-09,카드 승인 취소 요청
2019-09-09,수원 광교호수 행복한들 주차장 충전기 수리요망
2019-09-09,결제 후 부분 취소 문의
2019-09-09,완속충전기용 카드 발급
2019-09-09,과금 오류 확인 부탁합니다.
2019-09-09,충전카드 차량번호 변경 신청
2019-09-08,와코 ev-e6 (전기이륜차) 충전 카드 신청관련
2019-09-08,결제내역에 내역이 안 나옵니다.
2019-09-07,회원카드 차량번호 변경요청
2019-09-07,phev보조금관련 문의
2019-09-06,결제카드 등록해결좀요
2019-09-06,전기차 보조금 지원 문의합니다
2019-09-06,카드 승인 취소 요청
2019-09-06,충전명세서 조회기간
2019-09-06,전기차를 타는데 궁금증.
2019-09-06,회원카드 차량번호 변경요청
2019-09-05,회원카드
2019-09-05,전기이륜차 보조금 관련(와코 회사의 정책) 민원
2019-09-05,혹시 보조금 지원 되나요?
2019-09-04,회원카드 신청 관련 문의 (차량모델 선택)
2019-09-04,회원카드 차량번호 변경바랍니다.
2019-09-03,차량번호 수정 요청합니다..
2019-09-03,전기자동차 충전소 조회 문의
2019-09-03,전기충전소 환불요청건
2019-09-01,차량번호 수정요구
2019-09-01,천호역 지하 공영 주차장 전기 충전소 수리 부탁드립니다.
2019-09-01,kt에서 운용하는 충전기를 이용하는 방법
2019-08-30,카드 재발급
2019-08-30,차량번호 수정요청합니다
2019-08-30,카드 분실 재발급
2019-08-30,황경부 급속충전기 충전오류 신고
2019-08-29,이동식 충전기 신청한지 20일이 지났는데...
2019-08-29,충전기 API 이용문의
2019-08-29,회원카드 현장발급 은 어디서 수령하나요?
2019-08-29,카드발급 언제되는지요?
2019-08-29,충전요금조회가 안되네요?
2019-08-28,회원카드 발급 문의
2019-08-28,회원카드 발급 소요 기간 문의
2019-08-28,회원차량번호 수정요청합니다.
2019-08-27,카드결제 금액 환불 건
2019-08-27,회원카드 발급 기간
2019-08-27,회원카드 차량번호 수정 요청
2019-08-27,충전기 설치가능 여부 문의합니다
2019-08-27,결제후 돈이 나가는 등록된 카드 문의
2019-08-26,등기배송이 안된것 같은데 등기번호 좀 알려주세요
2019-08-26,전기차 충전기 주차면 파란색 도색문제
2019-08-26,차량번호변경 요청드립니다.
2019-08-26,차량번호변경 요청 드립니다.
2019-08-26,급속충전기 기술 규격
2019-08-26,회원카드 차량번호 변경 요청
2019-08-26,회원카드 등록 문의
2019-08-26,로밍 이용내역 조회 문의
2019-08-26,전기차 충전기설치장소 안내
2019-08-25,이사로 인한 지역 이동시 보조금 지급 문의
2019-08-24,차량번호 변경 요청드립니다.
2019-08-24,차량번호 변경 요청드립니다.
2019-08-23,차량번호변경 요청
2019-08-23,카드등록 후 마이페이지 카드 정보가 나오지 않습니다.
2019-08-22,전기차 지원 문의 드립니다.
2019-08-22,충전기 수리요청
2019-08-22,재발급신청
2019-08-22,홈페이지 회원 전화번호 수정
2019-08-22,카드 문의드립니다.
2019-08-21,카드발급후 소요기간
2019-08-21,문의드립니다
2019-08-21,회원카드 소요기간
2019-08-21,거주지 이전
2019-08-21,카드결제환불요청
2019-08-20,차량번호변경
2019-08-20,충전기 고장 신고로 조속히 수리 부탁드립니다..
2019-08-20,전기차 파란색 번호판 인식오류
2019-08-19,전기이륜차 국가보조금 지급관련
2019-08-19,공공충전인프라멤버쉽 카드 등록 문의
2019-08-19,창원시 의창구 성산스포츠센터 전기차 충전기 고장
2019-08-16,24시간 개방 모텔 충전소 문의
2019-08-15,전기차 충전요금이 청구되지 않습니다.
2019-08-15,급속 충전과 완속의 밧대리 수명
2019-08-14,카드발급 차량번호 수정
2019-08-14,충전시 휴대폰 번호 입력 관련 문의
2019-08-14,[애로사항]
2019-08-14,카드발급문의입니다. 배송이안오고있어요
2019-08-13,군포시 송죽공영주차장의 급속충전기 언제쯤 사용 가능한가요??
2019-08-13,발급카드 차량번호 수정
2019-08-12,어플 문의
2019-08-12,구매지원
2019-08-12,카드발급 및 완충
2019-08-11,목2동 주민센터 전기차 충전기 점검중
2019-08-10,카드발급문의드려요~
2019-08-09,전기차 트위지를 가지고있는데 아파트에서 사용할수있게 해주세요
2019-08-09,카드발급
2019-08-09,결제취소...
2019-08-09,회원카드 재발급요청드립니다.
2019-08-08,카드발급
2019-08-08,환경부 카드로 포스코완충기 충전기 이용이 잘안되네요
2019-08-08,담양문화회관 충전기 고장
2019-08-07,전기차 충전소 부하 정보를 요청드립니다.
2019-08-06,회원카드 결제 문의
2019-08-06,전기차 보조금 현황 데이터 요청합니다.
2019-08-06,카드 재발급신청하였습니다. 빠른 발급부탁해요.
2019-08-05,카드 결제 관련이요.
2019-08-05,평택대 완속충전기 고장유무
2019-08-05,노원에코센터 충전기 고장
2019-08-05,카드발급전 충전방법없습니까?
2019-08-04,카드발급시 차량종류 선택문제
