날짜,제목
2018-11-26,회원카드 신청한지 꽤오래됬는데 언제받아볼수 있나요???
2018-11-26,충전소 고장 신고하면 제발 고쳐 주세요
2018-11-26,카드발급
2018-11-24,충전카드 발급
2018-11-24,환경부카드 발급 신청 후 카드 수령받기전에 전기 충전 하려면 일반 신용카드 사용해도 되나요?
2018-11-23,현대 프로모션 카드 등록
2018-11-23,급속충전기 설치에 관한 문의
2018-11-23,카드 발급
2018-11-22,하이브리드 차량도 회원카드 발급 가능하게 해주세요
2018-11-21,청양읍사무소 앞 공영주차장 급속 충전기 고장
2018-11-21,서수원이마트에 급속충전기 콤보형식을 추가해주세요
2018-11-21,카드신청 문의
2018-11-20,후불교통카드로 전기차 충전환불
2018-11-20,카드 중복신청
2018-11-20,환경부카드로 타기관 이용시 영수증 발행 방법 문의
2018-11-19,환경부카드 오늘 신청했는데 취소 합니다. 이미 나온것이 있네요
2018-11-19,결제카드 등록이 되지 않네요
2018-11-19,멤버쉽카드 간편결제 등록 방법을 알려주세요
2018-11-19,충전카드 재발급을 하고싶습니다.
2018-11-18,회원카드는 받았는데 결제카드 연결을하려니 카드조회가안되요.
2018-11-18,회원카드가 안오네요
2018-11-16,회원카드받았는데 차량 출고 받아서 차번호 남기려고요
2018-11-16,회원카드 신청 건 취소 요청
2018-11-16,카드신청. 취소부탁드립니다.
2018-11-16,회원카드 문의요~~
2018-11-15,고장 점검 대응 개선
2018-11-15,회원카드 분실시 발급절차
2018-11-15,회원카드 신청 문의 드립니다.
2018-11-15,회원카드 신청 및 전기차 충전기 설치
2018-11-15,회원카드 신청 취소
2018-11-13,전기차 충전관련 카드를 신청해둔상태 입니다.
2018-11-13,양양가는 고속도로 홍천 휴게소 충전기 문제 (자주 고장나고 수리해도 또 고장
2018-11-13,충전기 사용시 회원카드인증 오류(결제실패)
2018-11-12,환경부카드로 충전 시 BC그린카드 50%할인 관련 문의드립니다.
2018-11-12,최근 설치하고 있는 채비에서 설치한 급속 충전기 문제
2018-11-11,카드등록이 안됩니다.
2018-11-09,급속충전기 설치관련 건의
2018-11-08,회원카드 신청 취소 부탁드립니다.
2018-11-08,회원카드 신청 시 차종 선택란에 phev차량이 없습니다.
2018-11-08,카드 발급 이 되었는지 궁금합니다.
2018-11-07,카드 수령지 변경하고 싶습니다.
2018-11-05,카드신청 취소해주세요. 기존에 발급되었네요
2018-11-05,결제 카드 등록 리셋해주세요~
2018-11-05,멤버십카드 간편결제 등록 방법에 대해 알려주세요
2018-11-04,카드가 안옵니다.반송이 된건지 확인좀 해주세요
2018-11-04,타기관 결제 언제 되는지 문의합니다.
2018-11-02,충전기 고장신고
2018-11-02,카드 현장 발급은 어디서 받는건가요?
2018-11-02,회원카드 신청 중복
2018-11-01,결제카드등록
2018-11-01,회원카드 재발급관련
2018-11-01,충전기 고장
2018-11-01,신규 카드신청 취소해주세요
2018-10-31,카드현장 발급 및 궁굼한 사항 입니다.
2018-10-31,카드신청후 등기배송시 소요기간 문의
2018-10-31,회원카드 분실 재발급 요청
2018-10-29,충전기 고장 신고
2018-10-28,10월21일 카드재발급 의뢰한것 등기배송완료로 나오는데 저는 아직 받지를 못했습니다
2018-10-28,회원카드 발급 문의
2018-10-27,회원카드 신청
2018-10-27,결제카드관리에 발급받은 카드가 표시되지 않네요
2018-10-26,비씨카드를 만들었는데
2018-10-25,충전카드 분실 재발급방법이 어떻게돼는지
2018-10-25,모바일카드 계획여부 질의건
2018-10-25,카드는 언제 오나요?
2018-10-25,카드분실로 재발급 의뢰한지 시간좀 지났는데 언제 오나요?
2018-10-24,차량번호 변경 및 카드 중복신청 취소요청
2018-10-24,카드제발급
2018-10-24,회원카드 신청취소
2018-10-23,결재카드등록 방법
2018-10-22,주소 변경지로 카드 재 발송 가능한지요?
2018-10-22,카드 중복신청 취소부탁드려요
2018-10-22,BC그린카드 할인 적용이 안 돼요
2018-10-21,차량번호 변경 및 결제카드 변경
2018-10-20,결제카드 등록이 안되요~!
2018-10-20,카드 수령 주소 변경했습니다. 변경된 주소로 재배송 부탁해도 될까요?
2018-10-20,카드중복신청 취소 부탁합니다
2018-10-20,카드 중복신청 취소및 차량번호 변경 부탁드립니다.
2018-10-19,결제카드등록오류
2018-10-19,카드 수령주소를 변경할수는 없나요?
2018-10-19,카드 중복신청 되었네요.
2018-10-19,카드가 아직 안왔어요.
2018-10-18,카드번호 확인
2018-10-17,카드 중복신청 지워주세요
2018-10-17,카드 발송문자 받았는데 카드가 안오네요
2018-10-16,김천시청 내 급속충전기 무료인가요?
2018-10-16,타기관 이용 요금 조회
2018-10-15,결제카드 등록을 부탁드립니다.
2018-10-15,카드를 추가 발급 할 수 있습니까?
2018-10-14,관공서에 구형 DC차데모 방식 급속충전기를 DC콤보도 가능한 급속충전기로 개선 원합니다.
2018-10-12,이륜차 카드발급 도와주세요~
2018-10-12,카드 중복신청된거 같아요..
2018-10-12,카드 미도착
2018-10-11,카드 중복신청되어서 한개는 없애주세요
2018-10-11,회원카드는 언제 보내주시나요?
2018-10-10,회원카드 신청 후 얼마만에 발송이 이루어지나요?
2018-10-08,충전카드
2018-10-08,회원카드 등록 접수 취소 부탁합니다.
2018-10-08,아파트 충전요금이 너무 비싸요
2018-10-08,결재카드 등록이 되지않습니다.
2018-10-07,그린카드로 변경했는데 계속 이전 카드로 결제됩니다.
2018-10-05,전기차 보유자만 충전카드 발급 가능한 가요 ?
2018-10-05,결제카드
2018-10-04,카드중복신청 취소 및 결제카드 등록 안됨
2018-10-04,타기관 이용 요금은 언제 확인 가능하나요?
2018-10-04,충전기 고장신고
2018-10-03,BC그린카드 50%할인이 안되서요
2018-10-02,나라키움원주 건물내 충전기 고장수리 안되나요?
2018-10-01,충전카드 분실&재발급
2018-10-01,아파트 급속충전기 설치관련 문의
2018-09-29,할인카드관련
2018-09-26,결재카드 다른것으로 바꿔도 되나요?
2018-09-26,회원카드 이중 발급 가능 여부
2018-09-21,카드 사용이 안됩니다.
2018-09-21,그린카드 문의
2018-09-18,결제카드 등록이 안됩니다.
2018-09-18,결제카드 연동
2018-09-18,현대자동차 전기차 전용충전카드 등록방법?
2018-09-18,카드 발급 신청 문의
2018-09-18,카드 발급 재요청건 취소바랍니다.
2018-09-17,멤버쉽카드가 되었다 않되었다 하는이유가 뭔가요?
2018-09-16,카드발급을 했는데 왜 안오나요 ?
2018-09-15,차량변경후 카드 재신청하였는데 기존카드 사용가능..
2018-09-15,카드를 확인할수없습니다 (인프라 멤버쉽카드인데도)
2018-09-15,카드발급 관련문의
2018-09-14,서해안 고속도로 행담도 휴게소 전기차 급속충전기 추가 설치 건
2018-09-14,카드 발급 문의
2018-09-14,자동차 등록정보 수정 및 추가 카드 발급 취소
2018-09-13,카드발급 사용문의
2018-09-13,전기차 충전소 건설 개선사항
2018-09-13,전북 익산시 예술의 전당 충전기 수리 요청드립니다.
2018-09-12,안양만안구청 급속충전기 문의
2018-09-11,회원카드 인식 오류
2018-09-11,카드 재발급 부탁드립니다.
2018-09-10,차량변경시 회원카드 다시 신청해야 하나요?
2018-09-10,아파트 충전소 일반차량 주차 규제는 어렵나요?
2018-09-09,결재카드 등록을 그린카드로 등록해야 50% 해택을 보나요 궁금합니다.
2018-09-08,결재카드등럭방법
2018-09-08,카드 차량 번호 추가의 건
2018-09-07,결제카드를 등록하려고 하는데요
2018-09-06,순천 신대지구 전기차 급속충전기 설치를 요청합니다.
2018-09-06,어제 통화했는데요 카드 재신청 해야할것 같아요
2018-09-06,"LH 동탄, 동탄2 수질복원센터 고장 확인."
2018-09-05,"부천시에,, 급속충전기 보급이 많이 안되어 있습니다.."
2018-09-05,카드를 두번정도 신청한거 같은데 발송됐는지 확인 어떻게 하나요?
2018-09-05,급속 충전 인프라 업데이트 요청
2018-09-04,등록된 카드번호가 다릅니다.
2018-09-04,타기관요금 확인 문의
2018-09-04,요금정산 관련 개선 요청 드립니다.
2018-09-04,회원카드 등기 중인데 등기 번호 및 진행 상황을 알고 싶습니다.
2018-09-03,서버 오류로 회원카드 2회 신청되었습니다.
2018-09-01,카드발급 관련문의 드립니다
2018-09-01,결제카드 변경 관련
2018-09-01,카드 발급 문의드립니다.
2018-08-30,차량번호 변경 요청 및 결재카드 등록 요청
2018-08-30,차량번호 변경 및 결재카드등록 요청
2018-08-30,경남 함양군 조망공원 급속충전기 고장 수리 해주세요~~
2018-08-30,전기차 인수전 카드발급
2018-08-30,차량 임시번호로 발급받은 카드 차량번호 변경 요청합니다.
2018-08-30,타기관 충전은 요금조회가 안 되나요?
2018-08-29,BWM 330e 차량은 카드 발급이 안되나요?
2018-08-29,환경부 카드로 포스코ICT 충전기 이용이 잘안되네요..
2018-08-28,"전기차 충전기 고장신고, 수리요청은 어디다 하면 되나요?"
2018-08-28,카드발급 이후 차량번호 수정
2018-08-28,결제카드 등록 문의
2018-08-27,신규 급속 충전기 규격
2018-08-25,중복카드 신청 취소 및 결제카드 관리 등록이 안되네요
2018-08-25,결제카드 등록
2018-08-25,결제카드 등록 활성화 요청
2018-08-23,카드가 반송됐는데 다른주소로 다시 받았으면 합니다.
2018-08-23,이미카드가 발급되었는데...
2018-08-22,멤버십카드 수령후 임시번호 교체건
2018-08-22,카드 배송 주소 오류
2018-08-22,카드가 이미 발급되었는데...실수로 카드발급신청을 또했네요~
2018-08-21,환경부카드 도착하여 결제카드 등록하려는데
2018-08-21,카드 임시 발급 이후 차량 번호 입력 및 결제 카드 입력
2018-08-21,BC그린카드 할인 문의
2018-08-20,회원카드 차량번호변경 부탁드립니다.
2018-08-20,카드 발급 관련
2018-08-19,카드 간편등록이 안되는데요
2018-08-19,충전카드 미인증 관련 질문
2018-08-18,전주혁신도시 수질복원센터 충전기 고장수리요청
2018-08-18,충전카드 미인증 관련 질문입니다.
2018-08-17,강원도 양양 38선 휴게소 충전소 고장 신고
2018-08-16,카드 등록 비밀번호가 안 맞고 오류 초과라고 뜹니다.
2018-08-16,회원카드 재발급 신청
2018-08-16,충전기 하드웨어 고장 몇주가 지나도 수리가 안되는 이유 및 조속한 개선 및 대책 마련을 촉구합니다.
2018-08-15,충전카드 조회가 안됩니다..
2018-08-14,카드 등록에 관해서
2018-08-14,둔내면사무소 급속충전기 문의합니다. 환경부 충전기가 아닌가요?
2018-08-13,카드발급 취소부탁드려요
2018-08-13,phev 회원카드 발급 안되나요?
2018-08-10,그린카드 발급관련
2018-08-10,카드를 수령하지 못하였습니다.
2018-08-09,카드가 먼저 도착후 결제계좌 연동
2018-08-09,카드 현장 발급 관련 문의건
2018-08-09,부천종합운동장 주차장에 있는 DC콤보 급속충전기 이상있습니다
2018-08-08,2011년/2012년 납품한 충전기 A/S를 위한 등록 카드 요청건
2018-08-07,회원카드 발급건
2018-08-06,충전기에서 카드 및 번호를 입력시 올바르지 않은 회원번호로 나올시
2018-08-05,회원카드 온라인접수완료 - 현장발급옵션 선택
2018-08-04,발급받은카드를 찍으면 인식이 안되서 해피차저카드로 찍고 충전하는데요..
2018-08-04,고장충전기 방치 및 충전요금 과다청구
2018-08-03,아파트 전기차 충전기 고장
2018-08-02,충전소 설치 후 미운영
2018-08-01,회원카드 중복신청 취소요청
2018-08-01,ev신한카드로 등록하여 사용하다가 그린하나카드로 변경등록하였는데 둘다결재가됩니다
2018-08-01,회원카드에 비밀번호 관하여
2018-07-31,회원카드 발급 상태 및 발급 방법 문의
2018-07-31,급속 충전기 이용
2018-07-30,"포천 영중면사무소, 포천반월아트홀 충전기 빠른 수리 부탁드립니다."
2018-07-29,"차량종류에 벤츠가없어서 카드신청이 안됩니다ㅡ.,ㅡ"
2018-07-28,회원카드 중복 신청 취소
2018-07-28,결재카드를 변경했는데 충전카드는 그대로 사용할 수 있나요
2018-07-27,회원카드는 신청했는데 회원번호먼저 알려주세요
2018-07-27,카드신청
2018-07-27,청량리롯데백화점 급속충전기 개선요청 드림. (DC콤보타입 추가)
2018-07-27,카드 중복 신청 취소요청
2018-07-26,카드 발급 문의
2018-07-26,급속충전기 고장 여부 문의
2018-07-26,회원카드 미수령에 따른 재발송 요청
2018-07-26,결재관리 카드관리
2018-07-26,공동주택 급속충전기 설치조건이 알고 십네요
2018-07-25,카드중복 신청 취소요청합니다
2018-07-25,결제카드 관리에서 카드 등록이 안되요
2018-07-24,카드중복 신청 취소요청합니다.
2018-07-24,차량번호 변경신청 & 카드중복발급 취소 요청
2018-07-24,차량번호 변경신청 & 카드재발급 취소 요청
2018-07-24,차량 고장/ 충전기 점검 요망
2018-07-23,와이프 명의로 차량구입시 환경부카드도 와이프 명의로 신청해야되나요?
2018-07-23,카드는 발급 후 회원정보 수정하니 카드 신규 신청되었습니다.
2018-07-22,중복카드신청 취소
2018-07-21,회원카드 등기주소 변경가능여부 문의드립니다.
2018-07-20,실수로 카드발급을 다시 신청했습니다.
2018-07-18,중복발급 카드 신청 취소
2018-07-18,충전소 수리좀요~~~~~????
2018-07-18,자동차 등록정보 수정 및 추가 카드 발급 취소
2018-07-17,용인시 양지면사무소에 설치된 한전공용충전기가 미가동상태입니다.
2018-07-17,카드 발급 관련 문의 사항입니다. ^^
2018-07-17,충전기 고장?(문경휴게소 양평방향 1대 )
2018-07-17,회원카드..
2018-07-17,카드를 받았는데 결제카드 목록에 환경부 카드가 안보여요~
2018-07-17,회원카드 자동차 번호 변경 및 추가카드 신청 취소
2018-07-16,회원카드 자동차번호 변경
2018-07-16,회원카드 신청시 해당 차량이 없습니다.
2018-07-14,결제 카드 등록 문의 입니다.
2018-07-14,전치가 이틀뒤 나오는데 카드 이제서야 등록합니다..
2018-07-13,예전에 발급받았던 회원카드에 결제카드를 등록하는 방법 알려주세요.
2018-07-12,카드추가발급문의
2018-07-10,그린카드 문의드립니다
2018-07-10,그린카드 등록 어떻게 해야 하나요?
2018-07-10,충전기 고장 접수
2018-07-10,플러그인 하이브리드 외제차 회원 카드 신청
2018-07-09,차량2대는 카드를 어떻게 신청하는지요?
2018-07-09,전기충전기 수리시간 단축 필요
2018-07-09,전기차 등록없이 충전카드 만들 방법은 없습니까 ?
2018-07-09,카드제발급
2018-07-09,렌트가 업체 충전카드에 들어가는 비용 건의
2018-07-07,결제 카드 등록이 안되요!
2018-07-06,전기차 충전기 수리요청
2018-07-04,강북구 삼양동 롯데마크 급속충전기 시설 추가와 개선 요청
2018-07-03,카드연결등록이 안돼요.
2018-07-03,남성주휴게소(양평방향) 충전기 수리부탁드려요
2018-07-03,가산공영주차장 충전기 고장... 언제 수리 되나요????
2018-07-03,멤버쉽 카드를 발급 받았습니다.
2018-07-02,카드신청 중복 취소 및 차량번호 등록 요청
2018-07-01,카드발급 완료인데 배송이 아직
2018-06-29,"카드 재발급 취소, 차량번호 변경 요청"
2018-06-29,구리시청 급속충전기 최대 출력이 낮게 나옵니다.
2018-06-29,천안시 급속 충전기 건의사항
2018-06-29,모르고중복신청했씁니다. 카드
2018-06-29,카드 요청 취소의 건 (6/29)
2018-06-29,경남창원 축구센터 급속 dc콤보 고장
2018-06-29,카드발급
2018-06-28,카드발급 중복신청 취소 가능한가요?
2018-06-28,개화산공영주차장은 충전못한 전기차도 주차요금을 내야하나요?시설의 고장신고와 재부팅만 기다렸는데...
2018-06-27,충전카드 발급 문의
2018-06-27,dc콤보 추가설치요청
2018-06-27,회원카드 자동차번호 변경
2018-06-27,카드 발급 취소 및 번호 변경 문의
2018-06-26,동일 차량번호로 2장의 카드를 발급할 수 있나요?
2018-06-25,전기차 급속충전기 유료화 시 기존 카드로 사용 가능한지?
2018-06-25,제 명의 전기차가 2대인데 카드 2장 발급 가능한가요?
2018-06-25,카드신청 취소합니다.
2018-06-25,완전개방형 급속충전기 설치 관련 문의
2018-06-23,카드 재발급
2018-06-23,정보 수정하는데 중복신청되었네요. 카드 중복 신청된것 취소 부탁드립니다
2018-06-23,카드재발급된것 취소부탁
2018-06-22,카드를 한번 더 신청했는데 오늘(2018-06-22) 신청한 것은 취소 부탁드립니다.
2018-06-22,카드 두번 신청했습니다.
2018-06-21,멤버쉽카드발급시 하이브리드차량
2018-06-21,결재카드등록 문의
2018-06-20,카드발급
2018-06-20,카드재발급건
2018-06-20,경기 평택 홈플러스 송탄점 급속 DC 콤보 고장 신고
2018-06-19,경기도 일산동구 라페스타쪽에 급속충전기 설치요청
2018-06-18,카드신청 추가
2018-06-17,결제카드 등록 넘어가는곳에서
2018-06-17,충전 카드 너무 많습니다. 하나로 통일해주세요
2018-06-17,플러그인 하이브리드 차량 충전카드 발급문의
2018-06-15,카드신청 추가로 했네요
2018-06-15,카드 발급 및 배송 문의
2018-06-13,결재카드 등록인 안됨
2018-06-13,카드 신청 잘못눌렀어요
2018-06-12,환경부카드 등록된 회원이 아닙니다 라고 멘트가
2018-06-10,충전 편의성 개선 및 충전시설 24시간 365일 개방촉구
2018-06-08,카드수령지을 변경부탁드립니다
2018-06-07,"아내 명의 차량, 남편 명의로 회원카드 신청 및 충전 가능한가요?"
2018-06-07,카드 발급 취소 부탁 드립니다.
2018-06-07,(급속)충전기 설치
2018-06-05,성남시 수정구 급속충전기 설치 건의 드립니다.
2018-06-05,열림문 덮게 고장
2018-06-05,황간휴게소 카드 미인식 관련.
2018-06-04,멤버쉽카드 비밀번호
2018-06-04,카드 중복신청
2018-06-04,급속 충전기 설치현황과 계획 문의드립니다.
2018-06-03,환경부카드 중복신청 삭제요청
2018-06-02,임시번호와 결제카드 변경
2018-06-02,급속 충전소 이용문의
2018-06-01,"등록번호, bc그린카드 간편결제로 등록"
2018-05-31,차량 번호 및 결제 카드 수정은 어디서 하나요?
2018-05-31,서울 양재 이마트 급속충전소 개선요청
2018-05-30,인천 연수구 이마트 충전소 개선요청
2018-05-29,각 사업자간 로밍시 충전단가 차이로 인해 결국 모든 카드가 다시 필요함
2018-05-29,회원카드
2018-05-28,전기자동차 급속충전 관련 문의
2018-05-26,카드신청 취소합니다.
2018-05-25,차량번호 수정 및 카드등록
2018-05-25,카드 받는 주소지 변경
2018-05-24,카드신청 취소합니다
2018-05-24,회원카드 신청건 취소요청
2018-05-24,[고장신고] 화성봉담 고속도로 오산휴게소(동탄방향)
2018-05-23,니로 플러그인 하이브리드 카드 신청 방법
2018-05-22,오창읍사무소 환경부 시그넷 급속충전기 사용불가
2018-05-22,회원카드 발급시 차량 번호?
2018-05-18,휴게소 급속충전기 확대 계획이 있나요?
2018-05-18,매송휴게소 급속 충전기 설치 문의
2018-05-17,카드신청 중복취소
2018-05-17,차량번호 입력과 카드결제 수정
2018-05-16,회원카드 취소 부탁드립니다.
2018-05-14,전기차 충전요금 카드결제 관련.
2018-05-14,bc그린카드로 결제하면 50프로 할인이 된다고 들었습니다
2018-05-14,"결제 카드 등록 방법, 그리고 회원카드 관리 건의 사항"
2018-05-11,결제카드 등록 문의
2018-05-10,충전카드 등기배송 지연
2018-05-08,충전기 고장신고는 어떻게 하나요
2018-05-07,충전카드 중복 신청
2018-05-04,환경부에서 받은 전기차 카드 등록 부탁합니다.
2018-05-03,전기차트럭 라보도 등록하게 해 주세요(회원카드)
2018-05-02,결제카드 등록관련 문의 드립니다.
2018-05-01,차량 번호가 없어도 카드 사용할 수 있게 해 주세요
2018-04-27,카드를 받았는데 추가로 또 신청이 되었네요. 취소 부탁드립니다
2018-04-27,카드가 중복으로 신청되었습니다
2018-04-27,둔내면사무소 급속 충전기
2018-04-26,기존 환경부카드에 새전기차를 등록하여 사용할 수 있나요?
2018-04-26,초소형 전기차 d2 회원카드 발급 못받나요>?
2018-04-26,결제카드를 등록할 회원카드번호가 표시되지 않습니다.
2018-04-25,보유카드가 사라졌습니다
2018-04-25,정부세종청사(환경부)6동에 있는 급속충전기 문의합니다.
2018-04-23,그린카드 발급 방법
2018-04-22,타 카드로 결제된 충전금액을 혜택있는 카드로 결제 변경 가능한지?
2018-04-20,급속 충전기 표준화 요청 드립니다.
2018-04-20,회원카드 발급
2018-04-19,결재카드 등록
2018-04-18,환경부에서 공급하는 전기차 충전소 결제카드 할인 문의
2018-04-16,카드 정보 변경
2018-04-16,해피차저(한충)카드로 고속도로휴게소의 환경부 급속에서 무료 시범기간중에 충전한 요금이 갑자기 청구되었습니다.
2018-04-13,카드신청
2018-04-12,BC 그린카드 등록 문의 드립니다
2018-04-12,카드인식안됨~
2018-04-12,카드 인증이 안됩니다.
2018-04-11,회원카드 운영사유 문의
2018-04-10,회원카드 인식 안됨.
2018-04-10,결재카드 변경하는방법
2018-04-09,결재카드 변경
2018-04-09,회원카드 만들려구 하는데 초소형전기차(d2) 선택란이 없습니다
2018-04-09,회원 카드 발급 문제로.....
2018-04-09,홈피상 카드발급완료 라고 뜨는데 카드 도착이 안되었네요???
2018-04-05,카드 등록 방법 문의
2018-04-04,발급완료지만 카드 못받았어요
2018-04-04,카드신청취소 / 결제카드 등록 방법
2018-04-04,충전카드 사용 문의
2018-04-03,카드에 등록된 차량번호 변경하고 싶습니다.
2018-04-03,차량번호 변경 및 카드 등록 문의..
2018-03-31,전기차 충전 카드를 발급 받았는데요.
2018-03-30,모르고 카드신청을 또 했습니다. 신청취소 부탁드립니다.
2018-03-28,카드신청 언제쯤 수령 가능한가요?
2018-03-27,회원카드 신청했습니다
2018-03-27,회원카드
2018-03-26,카드 인식 오류
2018-03-26,수리가 늦어집니다...
2018-03-26,결제카드 등록
2018-03-26,충전카드
2018-03-24,차량 번호 등록 요청 및 신규 발급 신청 카드 취소
2018-03-24,카드발급삭제부탁드립니다.
2018-03-21,카드가 왜 안오는가요?
2018-03-21,임시번호 등록카드 차량번호 변경 신청합니다
2018-03-19,법인카드와 멤버십카드 연계
2018-03-18,회원카드 또는 회원번호
2018-03-15,카드 등록
2018-03-14,[트위지] 카드발급 문의드립니다
2018-03-10,BC 그린카드 등록 및 할인 적용이 되었는지 확인해 주실 것과 고속도록 요금 할인 방법 문의
2018-03-09,카드발급완료되어 수령했지만 결제카드등록 목록에 카드번호가 뜨지 않습니다
2018-03-09,임시번호 등록카드 차량번호 변경 신청합니다
2018-03-09,BC그린카드 50% 할인이 적용되었는지 문의드립니다.
2018-03-08,충전카드 재발급
2018-03-06,차량 출고전 카드신청했는데..
2018-03-02,임시번호 등록카드 차량번호 변경 신청합니다
2018-03-02,환경부 충전기 카드 발급 관련
2018-02-28,카드 관련
2018-02-28,카드발급 문의
2018-02-28,차량 출고로 차량번호 및 결재카드 등록
2018-02-27,BC그린카드 충전요금할인 프로모션 문의드립니다.
2018-02-27,울진에 급속충전기 확대
2018-02-25,충전카드 등기재발송 여부
2018-02-23,카드발급문의드립니다.
2018-02-21,카드발급 문의
2018-02-21,카드신청 취소부탁드립니다.
2018-02-20,임시번호 등록카드 차량번호 변경 신청합니다
2018-02-20,충전기 고장 수리기간
2018-02-19,결제카드등록
2018-02-19,카드분실
2018-02-17,전기차 완속 고장문의
2018-02-14,"할인되는 BC그린카드 종류?(그린카드, 그린카드V2)"
2018-02-10,임시번호 등록카드 차량번호 변경 신청합니다
2018-02-09,충전 카드 신규 신청
2018-02-08,구파발 환승 주차장 dc콤보 급속 충전기 교체 건의
2018-02-07,카드 발급이 늦어서 어렵습니다.
2018-02-06,부산 시청 주차장내에서 충전하고나니 주차비도 부담 했습니다. 또 밀양 공설 운동장 에 설치된 충전기 고장 입니다. 빠른 시간내 수리 부탁 드립니다.
2018-02-06,임시번호 등록카드 차량번호 변경 신청합니다
2018-02-06,환경부 멤버십카드 다량 발급 요청
2018-02-05,충전카드
2018-02-05,층전금액 카드결제 문자 미확인 문의
2018-02-05,운영기관별 회원카드 사용여부 문의
2018-02-05,결재카드 할인 환불..
2018-02-01,회원카드 현장방문 수령시간
2018-02-01,진동면사무소 충전기 속도 저하 개선 요청건(재 요청)
2018-01-31,카드 발급 관련
2018-01-31,phev차량 소지자 회원카드 발급
2018-01-26,전기차 충전시 카드 비밀번호문의
2018-01-24,이마트 성남점 급속 충전기 고장
2018-01-24,전기차 충전카드
2018-01-22,충전카드 신청을 잘못했는데 취소가능한가요?
