날짜,제목
2018-12-31,카드발급은 대체 언제되나요?
2018-12-31,충전카드를 분실했습니다.
2018-12-30,카드 발급은 언제 되나요??
2018-12-28,카드발급 문의
2018-12-28,카드발급신청
2018-12-27,카드발급
2018-12-27,카드등록
2018-12-26,카드 발급 문의
2018-12-26,카드등록
2018-12-26,공공충전인프라 카드 발급 늑장 처리
2018-12-24,카드신청
2018-12-24,충전소 수리는 언제 끝나나요?
2018-12-24,고속도로 급속 충전기 사용시간 제한에 대한 개선 요청
2018-12-23,카드신청 오류
2018-12-23,회원카드 발급받았는데 실수로 하나더 신청되었습니다.
2018-12-22,충전카드 언제보내주나요?
2018-12-22,회원카드 신청중복
2018-12-21,카드 언제쯤 보내주시나요?
2018-12-21,플러그인하이드리브 회원카드 발급 안되나요
2018-12-21,충전기 고장
2018-12-20,카드발급문의
2018-12-20,카드 재발급 문의
2018-12-19,회원카드 발급받았는데 실수로 하나더 신청되었습니다.
2018-12-19,공공 급속 충전기 사용 규칙 관련 문의
2018-12-18,회원카드 발급 상황을 알고싶네요
2018-12-17,회원카드발급
2018-12-15,맴버시카드 받았는데...
2018-12-14,"신규 설치된 공공급속충전기 시행일자 문의(이거 알려주시는게 뭐 그리 어려우시다고, 정보공개청구할까요?)"
2018-12-14,카드발급 언제 오나요?
2018-12-13,"급속충전기 수리해 주세요(백제휴게소 서천방향 2기, 청양시장1기, 모현공원1기, 익산시청2기)"
2018-12-13,당진시청 전기차 충전기 고장
2018-12-12,회원카드 문의 드립니다 .
2018-12-11,신규 공공급속충전기 시범운영 시행일
2018-12-11,회원카드 문의
2018-12-11,다음주 출고인데 7일 신청한 카드 언제쯤 발급되는지
2018-12-10,추가 차량구입으로 인한 신규카드발급방법
2018-12-10,회원카드 문의
2018-12-10,회원카드신청
2018-12-10,그린카드 충전요금 할인 문의
2018-12-10,카드 중복신청
2018-12-09,충전카드 언제 나오는지 알 수 있을까요? 일주일째 그냥 접수상태로 가만히 있습니다.
2018-12-09,카드 발급 좀 빨리 해 주세요.
2018-12-07,도대체........언제 카드가 발급되는건지........현장발급은 어디서 할수 있는지를 알려주세요
2018-12-07,성산국민체육센터 주차장 급속충전기설치 건의
2018-12-07,카드발급문의입니다
2018-12-07,카드 발급
2018-12-06,차량모델이 없어서 회원카드 발급 불가
2018-12-06,테슬라모델 X 공공 충전소 카드
2018-12-06,카드 배송 언제쯤되나요
2018-12-05,고장충전기 신고 문의
2018-12-05,카드 중복 신청관련
2018-12-05,카드중복발급신청
2018-12-05,결제 카드 관리에서
2018-12-04,카드 조속 발급 부탁드립니다
2018-12-04,제일모직 맞은편 환경부 급속 충전기 고장인가요?
2018-12-04,당진근로자복지회관 급속충전기 가동부탁드립니다
2018-12-04,차량번호 변경 및 카드 취소 요청
2018-12-03,카드발급 문의드립니다.
2018-12-03,카드 중복신청
2018-12-03,회원카드 발급후 회원가입입니다.
2018-12-03,남해고속도로 급속충전기 추가설치 요망
2018-12-01,수원 도시공사내 충전기 고장신고
2018-11-30,차종목록 외의 차일경우 카드신청을 어떻게 할까요?
2018-11-30,카드인증이 않됩니다.
2018-11-30,멤버십 카드 발급 관련문의
2018-11-29,완주군 상관면 주민센터 환경부 급속충전기 고장신고
2018-11-29,충전카드
2018-11-29,카드 발급 언제될까요?
2018-11-28,충전카드배송..
2018-11-28,고양시청 충전기 고장 수리 부탁드립니다
2018-11-28,카드 새거 신청했는데 번호도 안나오고 배송도 늦네용
2018-11-28,카드 신청
2018-11-28,충전카드 문의
2018-11-28,충전소 고장 신고 접수
2018-11-28,충전카드 배송은 언제쯤 이루어지나요?
2018-11-27,충전카드 발급 문의
2018-11-27,카드가 중복 신청되었습니다.
2018-11-27,그린카드 할인 충전소 확인은 어디서 하나요?
2018-11-27,충전카드 배송
2018-11-27,카드 발급
2018-11-26,충전카드배송
