날짜,제목
2020-12-15,차량 번호 변경 요청
2020-12-15,통신문제 문의
2020-12-15,사이트 명의 변경 문의
2020-12-15,카드 분실
2020-12-15,"이륜차, 주행거리 상온/저온의 기준은 무엇인가요?"
2020-12-14,카드로 결제한것 부분취소가 안되엇습니다.
2020-12-14,카드없이 충전이 가능한가요
2020-12-14,충전기 고장
2020-12-14,신차를 구입했는데 차종에 제 차 모델이 없습니다.
2020-12-14,충전카드에 신용카드를 등록하였습니다.
2020-12-14,카드 발급 관련문의
2020-12-14,차량번호변경
2020-12-14,카드분실
2020-12-13,차량번호 변경
2020-12-12,급속충전기 수리요청
2020-12-12,카드 도착전에 카드번호로 충전못하나요?
2020-12-11,차량번호 변경 신청합니다
2020-12-11,결제 카드 등록 정보
2020-12-11,차량번호 변경
2020-12-10,차량번호 변경
2020-12-10,완속충전기 사용은 어떻게 해야 하나요?
2020-12-10,차량번호 변경요청 드립니다.
2020-12-10,차량번호 변경 요청드립니다
2020-12-10,차량번호 변경 요청
2020-12-10,충전소 정보 조회관련 오픈API
2020-12-09,시범운영(무료)이 종료되었나요?
2020-12-09,10월 시범운영 무료충전 확인하고 충전을 했는데 결제가 됐어요 확인 부탁드려요
2020-12-09,차량번호 변경관련
2020-12-09,회원 가입 문의
2020-12-09,차량번호 변경 부탁 드려요
2020-12-09,카드신청을했는데
2020-12-08,카드 비밀번호 오류 횟수 초과
2020-12-07,결제후반환
2020-12-07,원자력발전소내 충전기 사용여부
2020-12-07,결제취소 문자 안옴
2020-12-07,차량번호 변경요청
2020-12-07,결제카드를 변경했음에도 변경전 카드로 결제가 됩니다.
2020-12-07,PHEV 차량 문의 입니다.
2020-12-05,간편결제 결제 실패시 어떻게 되나요?
2020-12-04,차량선택
2020-12-03,과천동 주민센터 공용 완속기 관리 소흘과 상주 직원의 무개념 이용 행태
2020-12-03,단말기 고장 수리 지연
2020-12-03,영수증 관련 문의
2020-12-03,차량번호 등록 요청
2020-12-03,차량번호 수정 부탁드립니다.
2020-12-02,아이들 피 (idle fee) 도입해주세요!
2020-12-02,차량번호 변경 바랍니다
2020-12-02,충전기 고장 점검 요청드립니다.
2020-12-02,시범운영 충전기 사용후 과금된건에 대한 문의
2020-12-02,차량번호 수정 요청의 건
2020-12-02,상호 변경요청의 건
2020-12-02,시범운용 충전기 유료 전환 후 결재 문의 상담사 통화내용
2020-12-02,충전기 고장 신고
2020-12-02,차량 선택 내 해당차량이 없습니다.
2020-12-01,테스트차량 멤버십카드 발급 관련
2020-12-01,차량번호변경
2020-12-01,결제 카드 변경
2020-12-01,카드배송문의
2020-11-30,전기차 충전소 찾기
2020-11-29,플러그인 하이브리드 차량에 사용하려고 신청했습니다
2020-11-29,멤버십 카드 발급 시 차량모델 선택 관련
2020-11-29,차량 번호 변경 요청 드립니다.
2020-11-28,원자력발전소내 충전기 사용여부
2020-11-28,결제카드오류
2020-11-27,차량번호 수정 요청 드립니다.
2020-11-27,카드발급시 차량선택
2020-11-27,차량번호 수정 요청 드립니다.
2020-11-27,급속 충전기 설치시 무선인터넷도 같이 설치해주세요
2020-11-27,카드재발급
2020-11-27,차량번호변경 부탁드립니다.
2020-11-27,차량번호 수정 요청 드립니다.
2020-11-26,카드배송문의
2020-11-26,문의사항
2020-11-26,시범운영 충전기 고장신고
2020-11-26,차량번호 변경 부탁드립니다
2020-11-26,카드발급 문의
2020-11-25,"전기 충전기 고장입니다, 빨리 고쳐주세요"
2020-11-25,EV-Z 차량 등록 언제 해주시나요
2020-11-25,급속충전기 업데이트 필요
2020-11-25,충전요금 부과에 대한 질문 드립니다.
2020-11-24,PHEV 차량 회원카드 발급 문의
2020-11-24,통신미연결 기기 신고
2020-11-24,차량번호변경부탁드립니다.
2020-11-24,자동차보유현황 입력을 어떻게 하나요?
2020-11-23,회원카드 신청시 차종이 없을시 어떻게 하나요 ?
2020-11-23,화면에 시범운용 기간이라고 표기되었는데 결제가 되었습니다.
2020-11-23,차량번호 변경요청
2020-11-23,차량번호변경부탁드립니다
2020-11-23,차량번호 변경 요청 드립니다.
2020-11-23,차량번호 변경 요청 드립니다.
2020-11-23,법인사업자 실적관리 메뉴
2020-11-22,전기차 카드신청시 차량선택에 제가 구매한 차량이 없습니다.
2020-11-22,회원카드 신청시 차종 선택문의
2020-11-22,차량 등록 번호 변경 부탁드립니다
2020-11-21,쎄미시스코 EV-Z
2020-11-20,차량번호 변경 부탁드립니다
2020-11-19,충전기 고장 신고
2020-11-19,차량번호 변경관련 및 결제금액 조회불가
2020-11-19,오산시보건소 충전기 고장신고
2020-11-18,차량번호 변경 요청
2020-11-18,이동식 충전기 문의
2020-11-18,SS차저 요금 결재
2020-11-18,차량번호 변경요청
2020-11-18,차량 번호 변경 요청 드립니다.
2020-11-18,차량번호 변경요청
2020-11-18,무료 충전소 요금 지불 문의
2020-11-18,저공해차 차량번호 변경요청
2020-11-18,충전요금문의
2020-11-17,문의
2020-11-17,차량번호 변경
2020-11-17,회원카드
2020-11-17,수소충전소 목록 저작권 문의
2020-11-17,서울대학교 교차로 차데모 문제
2020-11-16,공공기관 및 자치단체 가입문의
2020-11-16,차량등록문의입니다.
2020-11-16,저공해 스티커 관련 문의입니다.
2020-11-16,차량번호 변경 부탁 드립니다.
2020-11-15,충전량 조회 문의
2020-11-15,결제카드 관련 질문좀 드릴게요
2020-11-14,차량 번호 변경 부탁드립니다.
2020-11-14,충전량과 금액이????
2020-11-14,카드번호 등록 / 차량번호 변경 부탁드립니다
2020-11-14,차량번호 변경부탁드립니다.
2020-11-13,차량번호 변경 부탁드립니다.
2020-11-13,차량번호 변경 부탁드립니다~!
2020-11-13,시험운영 안내문구 시정조치
2020-11-13,시범운영 종료 및 과금적용에 대한 절차적 문제를 검토해 주세요.
2020-11-13,급속충전기 시범운영 안내 문구 삭제바랍니다.
2020-11-13,시범운영 충전기간인데 결재가 진행되었어요
2020-11-13,차량번호 변경해주십시요
2020-11-12,충전 후 잔여 금액 환불이 안됐습니다.
2020-11-11,차량 번호 변경 부탁드립니다.
2020-11-11,차량번호 변경 부탁 드립니다.
2020-11-11,회원카드 등기번호 요청드립니다.
2020-11-11,차량번호 변경부탁드립니다.
2020-11-11,부천시민회관 환경부 급속충전기 관련 건의
2020-11-11,회원카드 분실시 재발급 절차
2020-11-11,부탁드립니다 !
2020-11-10,카드 비밀번호
2020-11-10,"아직 받지 못했는데, 배송정보가 배송완료라고 되어 있습니다."
2020-11-09,차량번호 변경 부탁드립니다
2020-11-09,오류번호 1165 카드 등록 실패
2020-11-09,차량번호 변경부턱 드려요
2020-11-09,충전기 고장
2020-11-09,차량번호 변경 부탁드립니다.
2020-11-09,로밍 이용내역 확인 시기
2020-11-09,충전관련 질문
2020-11-09,차량번호 변경 부탁드립니다.
2020-11-08,차량번호 변경요청합니다.
2020-11-07,차량번호 변경 부탁드립니다.
2020-11-07,차량번호 변경입력 부탁드립니다
2020-11-07,전기차 충전소 시범운용중인 경우 충전금액이 청구되나요?
2020-11-07,차량번호 변경 부탁드립니다.
2020-11-07,차량번호 변경 부탁드립니다.
2020-11-07,결제카드 등록 하려는데 멤버십카드가 안뜨는데요 ..?
2020-11-06,차량번호 변경 요청
2020-11-06,차량번호 변경 부탁드리겠습니다.
2020-11-06,이용요금 조회 및 명세서 발급
2020-11-06,홈페이지에 오타가있습니다.
2020-11-06,BMW PHEV 차종 회원카드 발급시 차종선택
2020-11-06,차량번호 변경 어떻게 해야하나요?
2020-11-05,저공해차 표지발급 절차 및 방법
2020-11-05,[문의] 벤츠 PHEV 차량 충전카드 신청 방법
2020-11-05,영수증 출력 오류
2020-11-04,차량 번호 변경을 부탁드립니다
2020-11-03,명세서 조회시 관련 문의 드립니다
2020-11-03,저공해 차량 관련 문의 드립니다.
2020-11-03,차량 번호 변경을 부탁드립니다.
2020-11-03,충전카드 이용문의
2020-11-03,차량번호 변경요청
2020-11-03,테슬라 차량 충전 관련
2020-11-03,신용카드 결제
2020-11-03,충전기 고장관련
2020-11-03,차량번호 번경을 부탁드립니다.
2020-11-02,결재카드 등록이 안됩니다.
2020-11-02,차량번호 변경해주세요
2020-11-02,하이브리드 전기충전차 발급
2020-11-01,전기 충전 카드 발급
2020-11-01,차량번호 변경
2020-11-01,회원카드 문의
2020-11-01,멤버쉽 카드 차량 선택 관련
2020-10-30,문의드립니다
2020-10-30,차량번호 변경
2020-10-30,차량번호 변경 요청드립니다.
2020-10-30,차량번호 변경요청
2020-10-30,충전기 고장
2020-10-30,충전기 고장 접수
2020-10-30,카드분실 후 재발급
2020-10-29,결제 카드 등록에 관하여
2020-10-29,영수증 출력방법
2020-10-29,차량번호 번경 요청드립니다~!
2020-10-28,인천 전기 충천소 전체
2020-10-28,멤버십 카드 사용 가능 유무
2020-10-28,충전기 공용 사용 가능 문의
2020-10-28,급속 충전기 속도가 최근 많이 느려 졌는데 최근 발생한 전기차 화재로 출력을 낮춘 것인가요?
2020-10-27,차량번호변경요청
2020-10-27,국민의 세금으로 신형충전기 3대씩이나 설치하고서 3달째 가동 안하는 이유가 뭔가요???
2020-10-27,차량 선택 관련
2020-10-27,카드-회원 확인 실패 문의
2020-10-27,충전기 고장 신고
2020-10-27,카드 차량번호 변경 부탁드립니다.
2020-10-26,충전기 고장
2020-10-26,카드-회원 확인 실패 문의
2020-10-25,회원번호 또는 카드번호 선지급 가능 여부
2020-10-24,충전기고장신고
2020-10-23,차량번호 변경 요청 건.
2020-10-23,타기관 충전소 결재오류로 인한 재결제 신청관련 문의
2020-10-23,차량번호 변경
2020-10-23,차량 등록 가능한 차 추가 요청
2020-10-23,차량 번호 변경 부탁드립니다.
2020-10-23,일반카드 결재 오류 문의
2020-10-22,문의
2020-10-22,필터교환
2020-10-22,카드등록요청 차량번호 등록
2020-10-22,충전시 결제내역
2020-10-22,차량번호 변경
2020-10-22,차량번호 변경 요청드립니다.
2020-10-22,충전기 고장신고
2020-10-21,충전기 고장신고
2020-10-21,카드번호가 다름
2020-10-21,카드결제 이상 확인요청건
2020-10-21,회원카드 발급 후 결제카드등록 문의
2020-10-21,국가지원금으로 설치한 충전기의 아파트관리사무소 임의로 사용중지(금지) 문의
2020-10-20,차량 변경등록 요청
2020-10-20,회원카드 선발급 방안문의
2020-10-20,충전요금 조회
2020-10-20,타기관 이용요금 영수증 출력 방법문의
2020-10-20,회원카드 발급 일정이 어떻게 되는지 알고 싶습니다.
2020-10-20,무료충전소 카드 취소
2020-10-19,과금 문의
2020-10-19,충전소 고장...
2020-10-19,충전소 위치
2020-10-19,충전기 고장 관련
2020-10-18,분실 카드
2020-10-18,차량 등록시 해당 차량이 없어요
2020-10-16,충전기 설치 정보를 엑셀 같은 리스트로 받을수 있을까요?
2020-10-15,저공해차량등록
2020-10-14,회원카드로 결제하면 결제 단위가 어떻게 되는가요?
2020-10-14,차량번호 변경 부탁드립니다.
2020-10-14,명장동 공영주차장 충전기 고장
2020-10-14,광주광역시 북구 효죽공영주차장 충전기 고장입니다.
2020-10-14,차량번호 변경요청
2020-10-13,아파트 내 충전소 외부차량 충전가능 여부
2020-10-13,충전소 무료 여부 확인 부탁드립니다.
2020-10-13,카드결제 이상 확인요청건
2020-10-13,카드결제 이상 확인요청건
2020-10-12,차량번호변경요청
2020-10-12,평택항터미널 충전기 고장
2020-10-12,회원카드는 언제쯤 받을 수 있을까요?
2020-10-12,전라북도 전주시 국민연금공단 본부에 설치된 급속충전기 고장입니다.
2020-10-12,카드결제 이상 확인요청건
2020-10-12,"차량변경시, 결제카드 변경"
2020-10-11,차량 번호 변경 요청건
2020-10-11,카드등록/결재
2020-10-11,차량번호 변경 및 카드등록 문의
2020-10-10,카드정보 차량번호 변경 요청
2020-10-10,충전기 오류로 인한 타인 충전분 결제
2020-10-09,카드 분실 재발급 신청
2020-10-09,광주광역시 서구 양3동주민센터 급속충전기 고장 신고
2020-10-08,5575번 게시글에 대한 추가글입니다.
2020-10-08,결제카드 등록이 안됨
2020-10-08,카드 결제 내역 조회되지 않음.
2020-10-07,결제카드 문의
2020-10-07,카드결제 이상 확인 요청 건
2020-10-07,차량번호 변경신청
2020-10-07,차량번호 변경 요청
2020-10-07,환경부 충전기 시스템 건의사항
2020-10-07,카드신청 관련
2020-10-07,차량번호 변경 요청
2020-10-06,차량번호 변경 요청드립니다.
2020-10-06,무료충전소 카드 결제 취소
2020-10-06,카드 분실 및 재발급신청
2020-10-06,"구매보조금 지급 현황에 ""우선순위""의 의미"
2020-10-06,카드 분실로 재발급 신청
2020-10-06,충전기 사용 후 미결제 건 처리기간
2020-10-05,차량번호 변경 요청드립니다
2020-10-05,차량번호 변경 부탁드려요
2020-10-05,회원카드 재발급 요청
2020-10-04,차량번호 변경 요청
2020-10-04,이용및 카드 미결제
2020-10-04,경상북도 울진군 울진읍 근남면사무소 충전기 고장
2020-10-02,카드발급문의
2020-10-02,차량번호 변경부탁드립니다.
2020-10-02,차량번호 변경 부탁 드립니다.
2020-10-02,차량번호 변경부탁드립니다.
2020-10-01,문의입니다.
2020-10-01,차량번호 변경 요청합니다
2020-09-30,차량번호변경/결재카드 등록 요청드립니다
2020-09-30,차량번호 변경 부탁드립니다
2020-09-30,이용요금 결제 미승인 관련
2020-09-30,차량번호 변경 등록 요청합니다
2020-09-29,차량번호 변경 요청
2020-09-29,차량번호 변경등록요청
2020-09-29,차량번호 변경부탁드립니다.
2020-09-29,결제취소문의
2020-09-29,결제방식등록?
2020-09-28,차량번호 변경 부탁드립니다.
2020-09-28,차량번호 변경 부탁드립니다.
2020-09-28,카드결제건 문의 드립니다.
2020-09-28,전기차 충전카드 번호변경
2020-09-28,결제 취소 요청
2020-09-28,정보변경 문의합니다
2020-09-28,타기관 이용요금 영수증 출력방법
2020-09-26,카드사용안됨
2020-09-26,차량번호 변경 부탁드립니다.
2020-09-25,차량번호 변경 부탁드립니다.
2020-09-25,차량번호 변경 부탁드려요
2020-09-24,"환경부 카드를 발급 받았는데, 차량 번호를 변경하고자 합니다."
2020-09-24,요청드립니다. 차량번호 변경 부탁드립니다.
2020-09-24,차량모델 변경 부탁드려요
2020-09-24,재결제 요청
2020-09-24,차량번호 변경 부탁드립니다.
2020-09-24,차량번호 변경 요청드립니다
2020-09-24,차량번호 변경 부탁드립니다
2020-09-24,차량번호 변경 부탁드립니다
2020-09-24,차량번호 변경 바랍니다.
2020-09-24,차량번호변경 요청합니다.
2020-09-24,차량번호 변경 바랍니다.
2020-09-24,군포시민체육광장 충전기 수리 하셨나요??
2020-09-23,차량번호 변경해 주세요
2020-09-23,결제 관련 문의드립니다
2020-09-23,차량번호 변경 요청드립니다.
2020-09-23,환경카드발급 차량목록
2020-09-23,차량번호 변경요청합니다.
2020-09-23,차량번호 변경 요청 드립니다.
2020-09-23,영수증 출력시 카드번호 관련
2020-09-23,차량번호변경요청드립니다.
2020-09-23,충전소 데이터 api
2020-09-23,카드 도용 의심
2020-09-23,차량번호 변경 부탁드려요
2020-09-23,차량번호 변경 요청합니다.
2020-09-22,차량변호 변경 요청합니다.
2020-09-22,광양시 충전소 사용량 정보요청
2020-09-22,차량번호 변경 부탁드립니다
2020-09-22,차량 번호 변경 및 카드 등록 부탁드립니다.
2020-09-22,차량번호 변경 부탁드립니다.
2020-09-22,차량번호 변경 부탁 드려요
2020-09-22,차량번호 변경 합니다
2020-09-22,결제 관련 문의 드립니다.
2020-09-22,차량번호 변경 요청드립니다.
2020-09-21,차량번호 변경 요청드립니다.
2020-09-21,차량번호 변경 부탁 드립니다 .
2020-09-21,군포시민체육광장 카드통신 정지 지속
2020-09-21,충전기 통신 미연결
2020-09-21,차량번호 변경 요청드립니다.
2020-09-21,차량번호 변경 부탁 드립니다.
2020-09-20,차량번호 변경 문의드립니다.
2020-09-20,카드 등기 반송 관련 문의
2020-09-20,차량번호 변경 부탁드립니당~
2020-09-19,차량 번호 변경 부탁드립니다.
2020-09-18,신청한 카드에 대해 문의가 있습니다.
2020-09-18,차량번호 변경 요청
2020-09-18,차량번호 변경 부탁 드립니다.
2020-09-18,충전요금이 결재되었는데 확인요청
2020-09-18,차량번호 변경 요청합니다.
2020-09-18,결제오류
2020-09-18,회원카드 발급 후 미도착
2020-09-18,차량 번호 변경 요청드립니다.
2020-09-18,차량번호 변경 부탁드립니다
2020-09-18,차량번호 변경 부탁드립니다.
2020-09-18,차량번호 변경 부탁드립니다.
2020-09-17,차량번호 변경 요청합니다
2020-09-17,차량번호 변경 부탁드립니다
2020-09-17,카드 재발급
2020-09-17,차량번호 변경 요청합니다.
2020-09-17,무료충전소 문의에 답글좀 달아주세요. 모르시면 모른다고 내용을 남겨주시거나 확인가능한곳을 알려주세요
2020-09-17,자동차번호 변경 요청
2020-09-17,차량번호 변경
2020-09-17,차량번호 변경 요청합니다.
2020-09-16,차량번호 변경 요청
2020-09-16,차량번호 변경요청합니다!
2020-09-16,차량번호 변경요청합니다.
2020-09-16,차량번호등록
2020-09-16,차량번호 변경
2020-09-16,무료충전소 문의
2020-09-16,차량번호 변경 부탁 드립니다
2020-09-15,차량번호 변경 요청드립니다!
2020-09-15,차량번호 변경 요청입니다
2020-09-15,차량번호 변경 부탁드립니다
2020-09-15,울산 화봉공원 충전 결제오류
2020-09-15,차량번호 변경 부탁드립니다.
2020-09-15,차량번호 변경 부탁드립니다.
2020-09-15,카드발급신청
2020-09-14,차량번호 수정요청
2020-09-14,차량번호 변경 부탁드립니다.
2020-09-14,차량번호 변경부탁드립니다
2020-09-14,경기도 고양시 덕양구 화정 롯데마트 환경부 급속 충전기 고장 신고
2020-09-14,차량번호 변경부탁드립니다.
2020-09-14,차량번호 변경부탁드립니다.
2020-09-14,차량번호변경부탁드립니다.
2020-09-14,차량번호 변경 부탁드립니다.
2020-09-14,차량번호 변경부탁드립니다.
2020-09-14,카드 등기 관련 문의
2020-09-14,전기차 장애인 혜택 뭐가 있을까요?
2020-09-14,테슬라 모델 x 는 차량선택에 없습니다.
2020-09-13,차량 번호 변경 부탁드립니다~
2020-09-12,차량번호 변경 부탁드립니다.
2020-09-12,차량번호 변경 부탁드립니다.
2020-09-12,회원카드 인식 승인 실패
2020-09-12,새로 발급받은 카드인데 왜 분실로 처리했나요
2020-09-12,차량 번호 변경 부탁드립니다.
2020-09-12,차량번호 변경 요청드립니다.
2020-09-12,차량번호 변경해주세요
2020-09-11,차량변경으로 차량번호 변경 부탁드립니다.
2020-09-11,2대 소유시 이중회원가입여부.
2020-09-11,차량번호 변경 신청
2020-09-11,차량번호변경 부탁 드립니다.
2020-09-11,차량번호 변경부탁드려요
2020-09-11,차량번호 변경요청
2020-09-11,차량번호 변경 부탁드려요~
2020-09-11,차량번호 변경 부탁드립니다.
2020-09-10,차량번호변경부탁드립니다.
2020-09-10,차량번호 변경부탁드랍니다
2020-09-10,차량번호 변경요청드립니다^^
2020-09-09,차량번호 변경 부탁드립니다.
2020-09-09,9월5일신청한 카드가 소식이 없습니다.
2020-09-09,차량번호 변경 부탁드립니다.
2020-09-09,결제카드 관리가 안됩니다.
2020-09-09,차량번호 변경 요청합니다
2020-09-09,무료충전소 카드환불 요청
2020-09-09,차량번호 변경 요청합니다.
2020-09-09,차량번호 변경 부탁드립니다.
2020-09-09,충전기 고장(서울역사박물관)
2020-09-09,차량번호 수정 부탁드립니다.
2020-09-09,차량번호 변경 부탁드립니다.
2020-09-09,차량번호 변경 요청합니다.
2020-09-09,안녕하십니까 차량번호 변경 부탁드립니다.
2020-09-08,차량번호 변경 요청합니다.
2020-09-08,차량번호 변경 요청합니다.
2020-09-08,"전기차 충전소 찾기에서 무료 ?, 유료 과금 관련입니다"
2020-09-08,차량번호 변경 요청합니다~
2020-09-08,차량번호 변경 요청드립니다.
2020-09-08,차량번호 변경 요청
2020-09-08,충전기 장력문제
2020-09-08,충전기 점검 및 고장수리요청
2020-09-08,카드 이용대금 관련 문의
2020-09-08,차량번호 변경 신청되나요?
2020-09-08,회원카드 배송조회는 어디서 할 수 있나요?
2020-09-08,충전기 고장 및 점검 요청
2020-09-07,차량번호 변경부탁드립니다.
2020-09-07,충전금액 상승에 따른 결제금액 상향이 필요합니다.
2020-09-07,BMW PHEV 차량인데요.
2020-09-07,차량번호 변경
2020-09-07,차량번호 변경 부탁드립니다.
2020-09-07,공영주차장 높이제한 해제요청및 탑차충전선영장요청
2020-09-07,보령시청 오천면사무소 전기차 충전기 사용요청
2020-09-07,강원대학교 백령스포츠센터 충전기 점검
2020-09-07,회원카드 차량번호 변경 요청드립니다.
2020-09-07,차량번호 변경요청 드립니다.
2020-09-07,경주 월정교 공영주차장 급속충전기 고장신고
2020-09-07,"완속충전과, 타 업체 호환"
2020-09-06,회원카드 차량번호 변경 요청 드립니다.
2020-09-06,회원카드배송여부
2020-09-06,충남 보령 주산면사무소 충전기 고장
2020-09-06,충전카드 차량번호 변경 요청합니다.
2020-09-06,카드 배송이 언제 되나요?
2020-09-05,금일 고속도로 충전요금 관련 문의
2020-09-05,차량번호 변경 요청드립니다.
2020-09-05,카드등록문의
2020-09-05,차량번호 변경 요청
2020-09-05,차량번호 변경 요망합니다
2020-09-04,충전카드 차량번호 변경 부탁드립니다.
2020-09-04,차량번호 변경 부탁드립니다.
2020-09-04,차량번호 변경 요청드립니다.
2020-09-03,차량번호 변경 요청 드립니다.
2020-09-03,결제카드관리 문의사항입니다.
2020-09-03,카드결제 정보 문의건
2020-09-03,차량번호 변경 요청합니다.
2020-09-03,차량번호 변경등록 부탁드립니다.
2020-09-03,차량번호 변경 요청드립니다
2020-09-02,회원카드 재발급 문의
2020-09-02,스파크EV 와 대영채비 충전 문제 언제까지 기다려야 할까요?
2020-09-02,결제카드 등록이 안되는데 어떻게 하나요?
2020-09-02,차량번호 변경 요청드립니다.
2020-09-02,결재카드 등록시 비번오류 초과로 카드 등록이 안될때는 어떻게 해야 하나요?
2020-09-02,차량번호 변경요청드립니다.
2020-09-02,충전기고장수리건의합니다.
2020-09-02,차량번호 변경신청합니다.
2020-09-02,충전기 고장
2020-09-02,차량번호 변경요청
2020-09-01,전기차 구입후 주소지 이전에 관한 문의
2020-09-01,차번호 변경요청
2020-09-01,차량번호변경요청
2020-09-01,차량 번호 변경 신청
2020-09-01,주차요금 청구 관련 문의 사항
2020-08-31,phev 차량은 전기차 충전카드(환경부) 않되나요?
2020-08-31,차량번호 변경요청
2020-08-31,회원카드 재발급 및 충전기 고장 문의
2020-08-31,충전카드 차량번호 변경요청
2020-08-31,포드 익스플로러 phev 차량 선택에 없어서요~
2020-08-31,5329번 글 추가 질의
2020-08-31,차량번호 변경 요청
2020-08-31,신차 차량번호 등록변경 요청 합니다.
2020-08-30,신차 차량번호 등록변경 요청 합니다.
2020-08-30,맴버십카드가 도착했는데 문제가 있어요..
2020-08-30,로밍으로 사용하려면..
2020-08-30,공무원들아 전기차 충전할때 주차비 받는 불합리 해결해라
2020-08-29,충전시
2020-08-29,카드만기로 인한 변경시
2020-08-29,차량번호 변경 신청입니다
2020-08-29,법인소유차량 개인명의카드 사용가능여부
2020-08-29,차량번호 수정요청
2020-08-28,신차 차량번호 변경 부탁드립니다.
2020-08-28,차량번호 수정요청
2020-08-28,차량 번호 수정 요청
2020-08-28,차량 번호 변경 요청
2020-08-28,차량번호 변경 부탁드립니다.
2020-08-28,충전카드 등록 번호 변경요청드려요
2020-08-28,차량번호 변경 신청입니다
2020-08-28,충전기 관련 질문사항
2020-08-28,차량번호 수정 부탁드립니다
2020-08-27,차량번호 수정 부탁드립니다.
2020-08-27,차량번호 변경 문의 드립니다.
2020-08-27,국립김해박물관 전기차 충전기 수리 부탁합니다.
2020-08-27,차량번호 변경 문의드립니다.
2020-08-27,환경부 충전 카드 차량번호 변경부탁드립니다!~
2020-08-27,환경부 급속충전기 전원이 3주 넘게 꺼져있습니다. 확인 및 답변좀 부탁드려요~~
2020-08-27,차량 번호 변경요청
2020-08-27,차량번호 변경 부탁드립니다.
2020-08-27,차량번호 수정 부탁드립니다
2020-08-27,차량번호 변경 부탁드립니다
2020-08-26,차량 번호 변경 부탁드립니다
2020-08-26,차량 번호 변경 부탁드립니다.
2020-08-26,차량번호 수정좀 부탁드립니다.
2020-08-26,차량모델
2020-08-25,차량번호 수정 부탁드립니다.
2020-08-25,충전시간 또는 설정금액을 조정해 주세요
2020-08-25,차량 번호 변경 부탁드립니다.
2020-08-25,예금보험공사 충전기 오류
2020-08-25,차량 번호 수정 요청 드립니다.
2020-08-25,차량번호 수정요청드려요
2020-08-25,이용명세 조회 및 결제대금 미청구 관련 문의
2020-08-25,충전기 문의입니다
2020-08-24,카드취소해주세요 재신청했어요
2020-08-24,문의 드립니다
2020-08-24,1만원 충전시 자동종료 안되게끔 해주세요
2020-08-24,카드 신청시 차량 목록에 없는 차량은 어떻게 해야하나요?
2020-08-24,결제카드 등록 불가
2020-08-24,충전 요금 수정해 주세요
2020-08-24,대구 서구문화회관 급속충전기 고장 신고
2020-08-22,마포중앙도서관 환경부 충전기 고장신고
