날짜,제목
2020-12-31,충전금액 이상
2020-12-31,차량번호 변경 요청
2020-12-31,회원카드가 발급완료 상태인데 집으로 배송이 안되어 있습니다.
2020-12-31,차량번호 변경 요청드립니다.
2020-12-31,카드 결제 부분 취소 관련
2020-12-31,차량번호 변경 요청드립니다
2020-12-30,결재금액 오류 문의
2020-12-30,맵버십 카드 신청시 문제 해결 요청
2020-12-30,전기차 회원카드(공공기관)
2020-12-30,회원 정보 변경 문의
2020-12-30,차량번호 변경 부탁드립니다.
2020-12-30,충전오류코드 질문
2020-12-30,완속충전차량 카드신청불가능인가요?
2020-12-30,차량번호 변경 요청 드립니다
2020-12-29,공공데이터포탈이용문의
2020-12-29,결재 연결카드 변경이 왜 안돼죠
2020-12-29,차량번호 변경 요청드립니다.
2020-12-29,차량번호 변경부탁드립니다.
2020-12-29,하이브리드 차량
2020-12-29,차량번호 변경 부탁드립니다.
2020-12-28,한국소방산업기술원 소방장비센터 급속충전기의 업무 외 시간 이용 건의드립니다.
2020-12-28,차량번호 변경 부탁드립니다
2020-12-28,회원카드 배송 문의
2020-12-27,벤츠 glc300e 모델 카드신청
2020-12-26,홈페이지의 충전소찾기 제대로 운영해주셨으면 합니다.
2020-12-26,차량번호 변경 신청합니다.
2020-12-25,결재카드를 달리해서 환경부카드를 하나더 발급받을수 있나요?
2020-12-25,결제카드 관련 질문
2020-12-25,하이브리드차량 신청은 어찌하나요?
2020-12-24,카드번호 변경 요청
2020-12-24,차량번호 정정 요청
2020-12-23,차량 번호 오기재
2020-12-23,차량번호 변경신청합니다.
2020-12-22,충전기 고장 및 고장 안내 문자 메시지 발송요청
2020-12-22,차량번호 번경 요청 드립니다
2020-12-22,차량번호 변경 요청드립니다.
2020-12-22,차량번호 변경 요청드립니다.
2020-12-22,차량번호 변경 요청
2020-12-22,차량번호 변경 요청드립니다
2020-12-22,충전카드 신청문의
2020-12-21,이번에 벤츠 glc300하이브리드 모델
2020-12-21,카드발급시 차량선택
2020-12-21,차량번호 변경요청 드립니다.
2020-12-21,회원카드 발급시 차종선택 문의
2020-12-21,법인 전기차량 관련 영수증 발급 이메일 변경
2020-12-21,콜센터 전화를 안받아요
2020-12-21,공공충전인프라 멤버십카드 등록 관련
2020-12-20,카드재발급 후 이용내역 조회불가
2020-12-20,이중결제
2020-12-19,차량번호 변경신청
2020-12-18,차량 번호 변경 요청
2020-12-18,전기차 충전소 문의
2020-12-17,차량번호 수정건의
2020-12-17,법인 전기차량 관련 영수증은 어떻게 발급받나요?
2020-12-17,차량번호 변경부탁합니다.
2020-12-17,차량번호 변경 요청
2020-12-16,무료충전소 과금
2020-12-16,무료충전소 과금
2020-12-15,무료 충전기 이용 후 충전요금 과금
2020-12-15,충전소 찾기 업데이트 요청
